,Date,Open,High,Low,Close
5578,2021-12-31,244.87,247.365,242.2,245.43
5577,2021-12-30,249.39,249.39,243.26,243.28
5576,2021-12-29,255.01,255.5,250.02,251.1
5575,2021-12-28,254.54,256.67,250.69,253.87
5574,2021-12-27,254.03,260.01,254.03,256.59
5573,2021-12-23,260.0,265.75,253.27,254.3
5572,2021-12-22,252.38,259.58,252.38,259.0
5571,2021-12-21,253.23,255.54,252.83,254.55
5570,2021-12-20,248.5,253.1,242.275,251.22
5569,2021-12-17,249.12,252.8194,241.95,251.8
5568,2021-12-16,247.01,253.64,240.25,252.33
5567,2021-12-15,231.94,247.88,229.94,245.14
5566,2021-12-14,213.64,235.58,213.64,235.0
5565,2021-12-13,230.32,230.59,221.875,223.87
5564,2021-12-10,224.88,236.48,223.99,232.85
5563,2021-12-09,223.94,229.5,223.94,225.99
5562,2021-12-08,214.79,229.5,210.88,228.0
5561,2021-12-07,213.5,220.33,213.0,214.95
5560,2021-12-06,204.64,212.7,204.64,211.74
5559,2021-12-03,201.395,203.85,200.12,200.45
5558,2021-12-02,202.85,211.65,199.14,208.84
5557,2021-12-01,210.1,212.5,202.27,202.27
5556,2021-11-30,209.15,213.75,202.41,205.42
5555,2021-11-29,218.98,218.98,206.38,212.58
5554,2021-11-26,211.38,211.38,198.63,205.98
5553,2021-11-24,214.62,219.8001,214.62,216.48
5552,2021-11-23,220.1,225.9911,214.72,216.8
5551,2021-11-22,222.23,232.295,221.3,221.44
5550,2021-11-19,222.71,223.55,219.74,221.3
5549,2021-11-18,226.16,226.16,220.55,225.7
5548,2021-11-17,225.0,228.52,218.0,224.75
5547,2021-11-16,231.27,231.27,222.0,225.19
5546,2021-11-15,232.44,234.95,224.75,230.02
5545,2021-11-12,237.53,237.53,228.78,229.53
5544,2021-11-11,238.78,238.78,234.54,237.32
5543,2021-11-10,256.56,261.23,234.79,237.39
5542,2021-11-09,245.4,257.35,245.4,256.22
5541,2021-11-08,241.61,249.0,238.93,244.28
5540,2021-11-05,219.34,247.0,219.34,243.88
5539,2021-11-04,199.8,217.69,199.8,215.99
5538,2021-11-03,184.005,196.79,184.005,196.38
5537,2021-11-02,186.59,188.935,184.64,186.1
5536,2021-11-01,183.97,188.7328,183.97,186.99
5535,2021-10-29,180.23,194.55,176.7898,185.39
5534,2021-10-28,163.12,181.23,163.12,180.0
5533,2021-10-27,155.99,160.15,150.26,158.44
5532,2021-10-26,197.8,197.8,151.12,151.61
5531,2021-10-25,204.0,212.76,204.0,208.4
5530,2021-10-22,205.87,205.88,202.24,204.98
5529,2021-10-21,209.17,209.56,203.6,203.6
5528,2021-10-20,201.23,208.6,201.23,208.18
5527,2021-10-19,202.67,203.12,194.52,203.12
5526,2021-10-18,195.83,203.2,195.83,200.75
5525,2021-10-15,193.49,199.97,192.25,194.5
5524,2021-10-14,194.45,194.94,191.7,194.36
5523,2021-10-13,199.49,199.49,191.0,191.7
5522,2021-10-12,198.66,198.9,196.29,198.68
5521,2021-10-11,200.6,202.78,198.16,198.16
5520,2021-10-08,197.91,203.2,197.91,199.8
5519,2021-10-07,197.39,201.381,197.39,198.33
5518,2021-10-06,199.2,199.2,194.86,196.6
5517,2021-10-05,200.44,204.5099,199.35,199.79
5516,2021-10-04,197.53,201.38,194.36,198.24
5515,2021-10-01,189.09,198.32,189.09,196.99
5514,2021-09-30,195.43,196.82,186.88,189.58
5513,2021-09-29,195.5,195.5,192.31,193.17
5512,2021-09-28,196.68,199.94,193.13,193.13
5511,2021-09-27,196.36,201.09,193.32,200.0
5510,2021-09-24,196.65,199.21,195.4814,196.64
5509,2021-09-23,198.03,202.0,194.54,197.02
5508,2021-09-22,192.43,199.9999,192.43,196.4
5507,2021-09-21,192.2,194.4,191.24,193.05
5506,2021-09-20,190.88,193.7928,189.4818,192.35
5505,2021-09-17,195.29,197.23,193.75,196.72
5504,2021-09-16,196.0,197.41,193.79,193.79
5503,2021-09-15,199.36,203.0,191.73,195.43
5502,2021-09-14,195.8149,204.8,195.8149,198.0
5501,2021-09-13,197.93,209.0,197.08,206.1
5500,2021-09-10,196.52,199.24,194.27,196.03
5499,2021-09-09,196.0,200.0,194.06,195.56
5498,2021-09-08,193.26,196.55,189.5455,195.33
5497,2021-09-07,193.69,199.725,193.69,194.69
5496,2021-09-03,190.295,193.73,190.295,192.8
5495,2021-09-02,193.06,194.3,189.245,191.76
5494,2021-09-01,187.5,192.1,187.5,191.49
5493,2021-08-31,187.84,190.89,187.125,189.87
5492,2021-08-30,192.28,195.0,188.33,188.7
5491,2021-08-27,187.06,193.25,187.06,192.33
5490,2021-08-26,189.37,191.975,183.54,185.51
5489,2021-08-25,185.51,194.21,185.51,190.27
5488,2021-08-24,196.21,196.21,185.76,187.05
5487,2021-08-23,194.0,199.1,193.22,195.73
5486,2021-08-20,186.53,196.57,186.52,191.82
5485,2021-08-19,181.71,188.5,180.7,188.5
5484,2021-08-18,183.12,185.79,180.68,182.26
5483,2021-08-17,180.0,186.0,179.96,184.19
5482,2021-08-16,174.1972,182.28,174.145,181.92
5481,2021-08-13,182.12,182.4562,178.85,179.86
5480,2021-08-12,185.1999,185.1999,181.0,181.58
5479,2021-08-11,182.49,184.81,181.535,183.6
5478,2021-08-10,183.04,185.5973,182.6,182.8
5477,2021-08-09,181.61,185.95,181.61,182.21
5476,2021-08-06,183.5,185.28,181.57,185.0
5475,2021-08-05,189.69,189.69,180.72,182.05
5474,2021-08-04,192.0,194.935,186.14,188.38
5473,2021-08-03,190.395,195.78,190.395,194.54
5472,2021-08-02,188.68,192.1494,187.436,190.67
5471,2021-07-30,188.43,192.51,188.43,189.57
5470,2021-07-29,188.94,189.3633,187.69,188.12
5469,2021-07-28,190.37,194.85,183.81,186.96
5468,2021-07-27,189.79,190.0,185.35,188.69
5467,2021-07-26,182.47,192.555,181.05,190.69
5466,2021-07-23,184.5,190.47,174.31,180.89
5465,2021-07-22,182.0,184.5,178.494,183.9
5464,2021-07-21,168.91,181.18,168.91,181.08
5463,2021-07-20,165.96,174.25,165.96,168.55
5462,2021-07-19,161.57,166.69,160.14,164.48
5461,2021-07-16,167.77,167.77,164.3,164.3
