,Date,Open,High,Low,Close
443,2021-12-31,63.3801,63.3801,63.0,63.0
442,2021-12-30,63.57,64.115,63.4653,63.4653
441,2021-12-29,63.001,63.3472,63.0,63.3472
440,2021-12-28,64.0,64.0,63.37,63.6539
439,2021-12-27,64.5,64.6479,64.18,64.4961
438,2021-12-23,62.94,63.7,62.94,63.4053
437,2021-12-22,62.61,63.3,62.61,63.1626
436,2021-12-21,61.0299,62.7984,60.62,62.7984
435,2021-12-20,59.93,60.2,59.612,60.2
434,2021-12-17,60.22,61.25,60.09,61.0204
433,2021-12-16,63.4934,63.5,60.67,61.0559
432,2021-12-15,61.24,63.5699,60.8901,63.5699
431,2021-12-14,61.38,61.781,60.831,61.6666
430,2021-12-13,63.92,63.92,62.73,62.73
429,2021-12-10,65.15,65.15,63.8,63.96
428,2021-12-09,66.09,66.095,64.2839,64.2839
427,2021-12-08,64.76,65.912,64.76,65.9
426,2021-12-07,63.94,65.56,63.94,65.26
425,2021-12-06,63.19,63.19,60.73,62.3571
424,2021-12-03,64.28,64.28,61.7199,62.534
423,2021-12-02,62.96,63.581,62.8,63.4553
422,2021-12-01,66.13,66.13,63.2974,63.2974
421,2021-11-30,67.51,67.51,65.24,65.66
420,2021-11-29,66.79,67.2775,66.2901,67.2775
419,2021-11-26,66.6,66.71,65.68,65.7919
418,2021-11-24,65.4,67.083,65.2106,67.083
417,2021-11-23,66.75,66.75,65.0,66.03
416,2021-11-22,69.24,69.255,66.8,66.8
415,2021-11-19,69.21,69.3286,68.8589,68.8589
414,2021-11-18,69.14,69.504,68.8139,68.8139
413,2021-11-17,68.75,68.75,68.22,68.32
412,2021-11-16,68.42,69.2884,68.42,69.2884
411,2021-11-15,69.14,69.14,68.0,68.2913
410,2021-11-12,67.7099,68.484,67.7099,68.484
409,2021-11-11,66.95,67.5299,66.95,67.47
408,2021-11-10,67.49,67.83,66.11,66.2041
407,2021-11-09,69.17,69.17,67.51,67.985
406,2021-11-08,67.45,68.2399,67.45,68.1223
405,2021-11-05,67.4937,67.4937,66.63,66.7742
404,2021-11-04,65.52,66.865,65.52,66.6001
403,2021-11-03,64.26,64.7757,64.1201,64.7757
402,2021-11-02,64.0,64.1946,64.0,64.1946
401,2021-11-01,63.72,63.91,63.69,63.892
400,2021-10-29,62.93,63.2,62.9,63.2
399,2021-10-28,63.01,63.2058,62.882,63.2058
398,2021-10-27,63.5244,63.5244,62.7043,62.7043
397,2021-10-26,63.64,63.665,62.933,62.933
396,2021-10-25,62.96,63.22,62.96,63.1032
395,2021-10-22,63.03,63.29,62.595,62.6756
394,2021-10-21,62.56,63.38,62.56,63.3078
393,2021-10-20,62.85,62.919,62.461,62.6885
392,2021-10-19,62.9,62.9218,62.9,62.9218
391,2021-10-18,61.514,62.2198,61.514,62.2198
390,2021-10-15,61.0,61.22,60.91,61.2153
389,2021-10-14,60.7599,60.87,60.6,60.69
388,2021-10-13,58.43,59.7825,58.43,59.7825
387,2021-10-12,58.3008,58.34,58.135,58.21
386,2021-10-11,57.81,58.58,57.81,58.0382
385,2021-10-08,58.5901,58.78,58.2684,58.2684
384,2021-10-07,58.88,59.25,58.6102,58.6102
383,2021-10-06,56.76,57.2785,56.76,57.2785
382,2021-10-05,55.82,56.6448,55.82,56.6448
381,2021-10-04,56.0,56.05,54.97,55.4252
380,2021-10-01,56.111,57.2215,56.111,57.2215
379,2021-09-30,56.84,57.301,56.84,57.087
378,2021-09-29,57.5,57.5,56.4058,56.4058
377,2021-09-28,57.52,57.61,57.1055,57.1055
