,Date,Open,High,Low,Close
1545,2021-12-31,3.2,3.28,3.07,3.14
1544,2021-12-30,3.25,3.33,3.22,3.28
1543,2021-12-29,3.34,3.4,3.19,3.25
1542,2021-12-28,3.46,3.675,3.27,3.3
1541,2021-12-27,3.67,3.67,3.47,3.5
1540,2021-12-23,3.58,3.75,3.49,3.7
1539,2021-12-22,3.52,3.63,3.37,3.56
1538,2021-12-21,3.53,3.77,3.445,3.55
1537,2021-12-20,3.22,3.5,3.1,3.47
1536,2021-12-17,3.22,3.315,3.11,3.16
1535,2021-12-16,3.4,3.43,3.22,3.23
1534,2021-12-15,3.25,3.4,3.21,3.38
1533,2021-12-14,3.25,3.39,3.21,3.26
1532,2021-12-13,3.44,3.45,3.28,3.29
1531,2021-12-10,3.6,3.64,3.46,3.47
1530,2021-12-09,3.58,3.625,3.53,3.58
1529,2021-12-08,3.7,3.729,3.59,3.62
1528,2021-12-07,3.59,3.74,3.5801,3.66
1527,2021-12-06,3.45,3.49,3.33,3.48
1526,2021-12-03,3.67,3.72,3.35,3.45
1525,2021-12-02,3.71,3.77,3.611,3.66
1524,2021-12-01,3.98,4.02,3.66,3.67
1523,2021-11-30,3.93,4.01,3.85,3.9
1522,2021-11-29,4.08,4.085,3.96,3.98
1521,2021-11-26,4.15,4.24,3.97,3.99
1520,2021-11-24,4.05,4.41,3.93,4.24
1519,2021-11-23,3.99,4.15,3.78,3.97
1518,2021-11-22,4.33,4.33,3.94,4.0
1517,2021-11-19,4.25,4.37,4.23,4.31
1516,2021-11-18,4.27,4.3801,4.1,4.28
1515,2021-11-17,4.34,4.39,4.16,4.18
1514,2021-11-16,4.57,4.57,4.36,4.4
1513,2021-11-15,4.69,4.78,4.48,4.52
1512,2021-11-12,4.81,4.83,4.58,4.66
1511,2021-11-11,4.69,4.8302,4.58,4.74
1510,2021-11-10,4.74,5.034,4.69,4.69
1509,2021-11-09,4.68,4.72,4.6,4.67
1508,2021-11-08,4.7,4.83,4.67,4.7
1507,2021-11-05,4.76,4.8,4.65,4.7
1506,2021-11-04,4.86,4.945,4.64,4.71
1505,2021-11-03,4.87,4.945,4.82,4.85
1504,2021-11-02,4.72,4.88,4.6,4.85
1503,2021-11-01,4.57,4.82,4.535,4.76
1502,2021-10-29,4.46,4.62,4.39,4.59
1501,2021-10-28,4.52,4.64,4.33,4.48
1500,2021-10-27,4.42,4.62,4.2,4.39
1499,2021-10-26,4.4,4.49,4.35,4.39
1498,2021-10-25,4.35,4.44,4.24,4.4
1497,2021-10-22,4.42,4.4332,4.16,4.34
1496,2021-10-21,4.49,4.59,4.26,4.39
1495,2021-10-20,4.65,4.86,4.48,4.49
1494,2021-10-19,4.89,4.89,4.58,4.69
1493,2021-10-18,5.1,5.1,4.61,4.63
1492,2021-10-15,4.82,5.22,4.74,5.15
1491,2021-10-14,4.74,4.83,4.69,4.72
1490,2021-10-13,4.74,4.82,4.66,4.72
1489,2021-10-12,4.68,4.75,4.64,4.74
1488,2021-10-11,4.5,4.68,4.5,4.64
1487,2021-10-08,4.76,4.84,4.48,4.5
1486,2021-10-07,4.75,4.89,4.66,4.73
1485,2021-10-06,4.64,4.85,4.6,4.76
1484,2021-10-05,4.84,4.84,4.5,4.68
1483,2021-10-04,4.86,4.87,4.64,4.76
1482,2021-10-01,4.95,5.0,4.76,4.8
1481,2021-09-30,4.89,5.24,4.88,4.9
1480,2021-09-29,5.49,5.535,4.87,4.89
1479,2021-09-28,6.13,6.28,5.35,5.4
1478,2021-09-27,6.2,6.24,6.0,6.16
1477,2021-09-24,6.07,6.32,6.0,6.18
1476,2021-09-23,5.86,6.11,5.83,6.08
1475,2021-09-22,5.69,5.9,5.62,5.85
1474,2021-09-21,5.64,5.72,5.53,5.68
1473,2021-09-20,5.58,5.698,5.47,5.6
1472,2021-09-17,5.5,5.9367,5.4,5.68
1471,2021-09-16,5.52,5.52,5.12,5.5
1470,2021-09-15,5.67,6.2,5.38,5.54
1469,2021-09-14,6.14,6.14,5.455,5.49
1468,2021-09-13,6.055,6.45,5.93,6.09
1467,2021-09-10,6.18,6.195,5.97,6.05
1466,2021-09-09,5.92,6.185,5.91,6.08
1465,2021-09-08,6.03,6.12,5.72,5.9
1464,2021-09-07,6.27,6.5448,6.035,6.1
1463,2021-09-03,6.245,6.5,6.06,6.23
1462,2021-09-02,6.47,6.5595,6.33,6.43
1461,2021-09-01,6.27,6.64,6.25,6.5
1460,2021-08-31,6.07,6.64,6.07,6.33
1459,2021-08-30,5.93,6.1,5.92,6.07
1458,2021-08-27,5.77,6.0,5.735,5.94
1457,2021-08-26,5.96,6.225,5.65,5.75
1456,2021-08-25,6.02,6.055,5.89,5.93
1455,2021-08-24,6.06,6.15,5.95,5.99
1454,2021-08-23,6.14,6.2348,5.92,6.02
1453,2021-08-20,5.55,6.181,5.55,6.04
1452,2021-08-19,6.03,6.03,5.56,5.61
1451,2021-08-18,6.27,6.48,5.68,5.72
1450,2021-08-17,5.91,6.35,5.8,6.31
1449,2021-08-16,6.35,6.55,5.96,5.97
1448,2021-08-13,6.32,6.45,6.16,6.41
1447,2021-08-12,5.67,6.3999,5.66,6.26
1446,2021-08-11,5.6,5.77,5.5,5.7
1445,2021-08-10,5.9,5.9,5.51,5.53
1444,2021-08-09,6.02,6.08,5.79,5.84
1443,2021-08-06,6.13,6.24,5.72,5.94
1442,2021-08-05,5.46,6.05,5.38,6.03
1441,2021-08-04,5.53,5.72,5.37,5.55
1440,2021-08-03,5.63,5.63,5.33,5.56
1439,2021-08-02,5.51,5.7,5.475,5.61
1438,2021-07-30,5.7,5.8,5.45,5.51
1437,2021-07-29,5.84,5.92,5.735,5.76
1436,2021-07-28,5.62,5.85,5.42,5.82
1435,2021-07-27,5.49,5.81,5.4,5.65
1434,2021-07-26,5.8,5.8125,5.35,5.48
1433,2021-07-23,6.48,6.49,5.7901,5.84
1432,2021-07-22,6.8,6.8,6.155,6.46
1431,2021-07-21,7.18,7.18,6.84,6.85
1430,2021-07-20,6.69,7.24,6.66,7.12
1429,2021-07-19,6.61,6.79,6.555,6.69
1428,2021-07-16,6.56,6.78,6.45,6.65
1427,2021-07-15,6.69,6.71,6.44,6.48
1426,2021-07-14,7.0,7.0,6.49,6.64
1425,2021-07-13,6.97,7.05,6.91,6.96
1424,2021-07-12,7.02,7.08,6.815,7.0
1423,2021-07-09,6.91,7.03,6.72,7.0
1422,2021-07-08,6.58,6.855,6.51,6.83
1421,2021-07-07,6.74,6.95,6.62,6.7
1420,2021-07-06,6.575,6.73,6.48,6.72
1419,2021-07-02,6.75,6.78,6.57,6.68
1418,2021-07-01,6.64,6.775,6.495,6.74
1417,2021-06-30,6.66,6.87,6.48,6.66
1416,2021-06-29,6.95,7.01,6.66,6.71
1415,2021-06-28,7.13,7.1567,6.81,6.84
1414,2021-06-25,7.17,7.3,7.05,7.05
1413,2021-06-24,7.08,7.305,7.02,7.19
1412,2021-06-23,6.79,7.07,6.79,7.04
1411,2021-06-22,7.04,7.04,6.58,6.75
1410,2021-06-21,7.14,7.32,6.99,7.04
1409,2021-06-18,7.12,7.25,7.01,7.24
1408,2021-06-17,6.815,7.28,6.815,7.17
1407,2021-06-16,7.09,7.23,6.92,7.06
1406,2021-06-15,7.1,7.31,7.03,7.13
1405,2021-06-14,7.31,7.46,7.25,7.31
1404,2021-06-11,7.55,7.55,7.06,7.24
1403,2021-06-10,7.3,7.54,7.12,7.47
1402,2021-06-09,7.3,7.49,7.26,7.3
1401,2021-06-08,7.19,7.31,6.94,7.26
1400,2021-06-07,6.8,7.15,6.73,7.07
1399,2021-06-04,6.96,7.018,6.74,6.77
1398,2021-06-03,6.8,7.0,6.7095,6.91
1397,2021-06-02,6.74,6.845,6.53,6.73
1396,2021-06-01,6.84,6.945,6.51,6.73
1395,2021-05-28,6.93,7.3,6.8,6.84
1394,2021-05-27,6.84,6.95,6.71,6.89
1393,2021-05-26,6.57,6.8,6.5,6.78
1392,2021-05-25,6.44,6.73,6.35,6.52
1391,2021-05-24,6.85,6.85,6.32,6.46
1390,2021-05-21,6.68,7.11,6.53,6.85
1389,2021-05-20,6.73,6.93,6.61,6.91
1388,2021-05-19,6.68,6.89,6.52,6.74
1387,2021-05-18,6.22,7.04,6.22,6.71
1386,2021-05-17,6.26,6.49,6.04,6.2
1385,2021-05-14,5.75,6.22,5.53,6.21
1384,2021-05-13,5.85,6.31,5.46,5.86
1383,2021-05-12,5.73,6.35,5.69,6.12
1382,2021-05-11,6.01,6.15,5.79,5.81
1381,2021-05-10,6.09,6.33,5.89,6.02
1380,2021-05-07,5.7,6.14,5.62,6.08
1379,2021-05-06,6.0,6.05,5.56,5.65
1378,2021-05-05,5.87,6.19,5.8201,6.02
1377,2021-05-04,6.27,6.27,5.68,5.79
1376,2021-05-03,6.08,6.405,6.0,6.34
1375,2021-04-30,6.06,6.17,5.9,6.15
1374,2021-04-29,6.22,6.2546,5.995,6.13
1373,2021-04-28,6.13,6.33,6.05,6.18
1372,2021-04-27,6.31,6.31,6.0,6.18
1371,2021-04-26,6.11,6.37,6.03,6.27
1370,2021-04-23,6.12,6.35,6.005,6.07
1369,2021-04-22,6.12,6.36,6.03,6.08
1368,2021-04-21,5.87,6.17,5.7,6.11
1367,2021-04-20,5.93,6.0195,5.87,5.9
1366,2021-04-19,6.1,6.25,5.91,5.95
1365,2021-04-16,6.4,6.47,6.1,6.27
1364,2021-04-15,6.37,6.59,6.3,6.34
1363,2021-04-14,6.44,6.6,6.25,6.26
1362,2021-04-13,6.36,6.495,6.1801,6.44
1361,2021-04-12,6.22,6.87,6.06,6.35
1360,2021-04-09,6.29,6.57,6.21,6.23
