,Date,Open,High,Low,Close
5578,2021-12-31,15.2,15.2,15.2,15.2
5577,2021-12-30,15.2,15.2,15.2,15.2
5576,2021-12-29,15.2,15.2,15.2,15.2
5575,2021-12-28,15.1,15.1,15.1,15.1
5574,2021-12-27,15.1,15.1,15.1,15.1
5573,2021-12-23,15.2,15.2,15.2,15.2
5572,2021-12-22,15.2,15.2,15.2,15.2
5571,2021-12-21,15.2,15.2,15.2,15.2
5570,2021-12-20,15.25,15.25,15.25,15.25
5569,2021-12-17,15.25,15.25,15.25,15.25
5568,2021-12-16,15.25,15.25,15.25,15.25
5567,2021-12-15,15.25,15.25,15.25,15.25
5566,2021-12-14,15.11,15.25,15.11,15.25
5565,2021-12-13,15.12,15.12,15.12,15.12
5564,2021-12-10,15.35,15.35,15.35,15.35
5563,2021-12-09,15.35,15.35,15.35,15.35
5562,2021-12-08,15.4462,15.4462,15.4462,15.4462
5561,2021-12-07,15.3499,15.3499,15.3499,15.3499
5560,2021-12-06,15.3499,15.3499,15.3499,15.3499
5559,2021-12-03,15.35,15.35,15.3499,15.3499
5558,2021-12-02,15.21,15.21,15.21,15.21
5557,2021-12-01,15.21,15.21,15.21,15.21
5556,2021-11-30,15.21,15.21,15.21,15.21
5555,2021-11-29,15.21,15.21,15.21,15.21
5554,2021-11-26,15.21,15.21,15.21,15.21
5553,2021-11-24,15.21,15.21,15.21,15.21
5552,2021-11-23,15.5837,15.5837,15.5837,15.5837
5551,2021-11-22,15.5837,15.5837,15.5837,15.5837
5550,2021-11-19,15.5,15.7475,15.27,15.5837
5549,2021-11-18,15.45,15.45,15.45,15.45
5548,2021-11-17,15.45,15.45,15.45,15.45
5547,2021-11-16,15.45,15.45,15.45,15.45
5546,2021-11-15,15.5965,15.5965,15.5965,15.5965
5545,2021-11-12,15.52,15.5965,15.45,15.5965
5544,2021-11-11,15.8,15.8219,15.8,15.8219
5543,2021-11-10,15.86,15.86,15.86,15.86
5542,2021-11-09,15.8601,15.8601,15.8601,15.8601
5541,2021-11-08,15.8601,15.8601,15.8601,15.8601
5540,2021-11-05,15.7,15.8001,15.7,15.8
5539,2021-11-04,15.74,15.74,15.74,15.74
5538,2021-11-03,15.74,15.74,15.74,15.74
5537,2021-11-02,15.62,15.74,15.6,15.74
5536,2021-11-01,15.86,15.8801,15.58,15.58
5535,2021-10-29,15.58,15.58,15.58,15.58
5534,2021-10-28,15.58,15.58,15.58,15.58
5533,2021-10-27,15.58,15.58,15.58,15.58
5532,2021-10-26,15.58,15.58,15.58,15.58
5531,2021-10-25,15.58,15.58,15.58,15.58
5530,2021-10-22,15.58,15.58,15.58,15.58
5529,2021-10-21,15.58,15.58,15.58,15.58
5528,2021-10-20,15.5802,15.5802,15.5802,15.5802
5527,2021-10-19,15.5802,15.5802,15.5802,15.5802
5526,2021-10-18,15.5802,15.5802,15.5802,15.5802
5525,2021-10-15,15.5802,15.5802,15.5802,15.5802
5524,2021-10-14,15.5802,15.5802,15.5802,15.5802
5523,2021-10-13,15.6,15.6,15.56,15.5802
5522,2021-10-12,15.8719,15.8719,15.8719,15.8719
5521,2021-10-11,15.8719,15.8719,15.8719,15.8719
5520,2021-10-08,15.73,15.73,15.73,15.73
5519,2021-10-07,15.73,15.73,15.73,15.73
5518,2021-10-06,15.73,15.73,15.73,15.73
5517,2021-10-05,15.91,15.9118,15.91,15.9118
5516,2021-10-04,15.9118,15.9118,15.9118,15.9118
5515,2021-10-01,15.9118,15.9118,15.9118,15.9118
5514,2021-09-30,15.91,15.9118,15.91,15.9118
5513,2021-09-29,15.8801,15.8801,15.8801,15.8801
5512,2021-09-28,15.8801,15.8801,15.8801,15.8801
5511,2021-09-27,15.88,15.8801,15.88,15.8801
5510,2021-09-24,15.5004,15.5004,15.5004,15.5004
5509,2021-09-23,15.5004,15.5004,15.5004,15.5004
5508,2021-09-22,15.4971,16.2,15.4,15.5004
5507,2021-09-21,15.56,15.56,15.56,15.56
5506,2021-09-20,15.56,15.56,15.56,15.56
5505,2021-09-17,15.56,15.56,15.56,15.56
5504,2021-09-16,15.65,15.65,15.6,15.6
5503,2021-09-15,15.63,15.63,15.63,15.63
5502,2021-09-14,15.63,15.63,15.63,15.63
5501,2021-09-13,15.66,15.7,15.66,15.7
5500,2021-09-10,15.66,15.66,15.66,15.66
5499,2021-09-09,15.73,15.73,15.73,15.73
5498,2021-09-08,15.6,15.6,15.6,15.6
5497,2021-09-07,15.8199,15.8199,15.8199,15.8199
5496,2021-09-03,15.8,15.8,15.8,15.8
5495,2021-09-02,15.8,15.8,15.8,15.8
5494,2021-09-01,15.8,15.8,15.8,15.8
5493,2021-08-31,15.8,15.8,15.8,15.8
5492,2021-08-30,15.8,15.8,15.8,15.8
5491,2021-08-27,15.8,15.8,15.8,15.8
5490,2021-08-26,15.7,15.7,15.7,15.7
5489,2021-08-25,15.7,15.7,15.7,15.7
5488,2021-08-24,15.7,15.7,15.7,15.7
5487,2021-08-23,15.65,15.65,15.61,15.61
5486,2021-08-20,16.2284,16.2284,16.2284,16.2284
5485,2021-08-19,16.4,16.4,16.4,16.4
5484,2021-08-18,16.4,16.4,16.4,16.4
5483,2021-08-17,16.4,16.4,16.4,16.4
5482,2021-08-16,16.4,16.4,16.4,16.4
5481,2021-08-13,16.4,16.42,16.4,16.4
5480,2021-08-12,16.23,16.23,16.23,16.23
5479,2021-08-11,16.3,16.3,16.3,16.3
5478,2021-08-10,16.3,16.3,16.3,16.3
5477,2021-08-09,16.3,16.3,16.3,16.3
5476,2021-08-06,16.35,16.39,16.3,16.3
5475,2021-08-05,16.345,16.345,16.345,16.345
5474,2021-08-04,16.3921,16.3921,16.3921,16.3921
5473,2021-08-03,16.3921,16.3921,16.3921,16.3921
5472,2021-08-02,16.3921,16.3921,16.3921,16.3921
5471,2021-07-30,16.3921,16.3921,16.3921,16.3921
5470,2021-07-29,16.3921,16.3921,16.3921,16.3921
5469,2021-07-28,16.3921,16.3921,16.3921,16.3921
5468,2021-07-27,16.3921,16.3921,16.3921,16.3921
5467,2021-07-26,16.3921,16.3921,16.3921,16.3921
5466,2021-07-23,16.3921,16.3921,16.3921,16.3921
5465,2021-07-22,16.3921,16.3921,16.3921,16.3921
5464,2021-07-21,16.29,16.29,16.29,16.29
5463,2021-07-20,16.2,16.2,16.2,16.2
5462,2021-07-19,16.48,16.48,16.48,16.48
5461,2021-07-16,16.48,16.48,16.48,16.48
5460,2021-07-15,16.48,16.48,16.48,16.48
5459,2021-07-14,16.48,16.48,16.48,16.48
5458,2021-07-13,16.48,16.48,16.48,16.48
5457,2021-07-12,16.48,16.48,16.48,16.48
5456,2021-07-09,16.6,16.6,16.6,16.6
