,Date,Open,High,Low,Close
5578,2021-12-31,8.86,9.25,8.65,8.66
5577,2021-12-30,8.77,9.18,8.77,9.06
5576,2021-12-29,9.1,9.32,8.6,8.72
5575,2021-12-28,9.75,9.88,8.9759,9.45
5574,2021-12-27,10.19,10.36,9.85,9.95
5573,2021-12-23,10.7,10.74,10.375,10.55
5572,2021-12-22,10.36,10.87,10.2112,10.67
5571,2021-12-21,10.27,10.42,10.1499,10.25
5570,2021-12-20,10.34,10.8099,10.12,10.12
5569,2021-12-17,9.9,10.92,9.8854,10.1
5568,2021-12-16,10.33,10.33,9.92,9.95
5567,2021-12-15,10.3494,10.445,10.32,10.32
5566,2021-12-14,10.55,10.96,10.34,10.4927
5565,2021-12-13,10.81,11.11,10.55,10.55
5564,2021-12-10,10.99,11.25,10.55,10.75
5563,2021-12-09,11.52,11.63,11.0,11.01
5562,2021-12-08,11.89,11.9929,11.7201,11.9
5561,2021-12-07,12.1,12.15,11.7601,11.84
5560,2021-12-06,12.51,12.54,11.865,12.09
5559,2021-12-03,12.75,12.75,12.26,12.63
5558,2021-12-02,12.77,12.98,12.59,12.84
5557,2021-12-01,13.14,13.15,12.72,12.84
5556,2021-11-30,13.21,13.27,12.9,12.94
5555,2021-11-29,13.75,13.75,13.06,13.2899
5554,2021-11-26,13.15,14.0992,13.03,13.75
5553,2021-11-24,13.85,14.28,13.25,13.39
5552,2021-11-23,14.12,14.29,13.75,13.85
5551,2021-11-22,14.26,14.26,14.1,14.18
5550,2021-11-19,14.82,14.82,14.26,14.26
5549,2021-11-18,14.78,15.01,14.75,14.85
5548,2021-11-17,15.24,15.255,14.78,14.87
5547,2021-11-16,15.47,15.47,15.0134,15.25
5546,2021-11-15,16.25,16.4753,14.8,15.38
5545,2021-11-12,16.86,16.925,16.56,16.77
5544,2021-11-11,16.4,16.9081,16.4,16.86
5543,2021-11-10,17.39,17.39,16.36,16.36
5542,2021-11-09,17.24,17.3495,17.16,17.3
5541,2021-11-08,17.27,17.32,17.014,17.32
5540,2021-11-05,17.3,17.3,17.06,17.12
5539,2021-11-04,17.22,17.3949,17.0001,17.0569
5538,2021-11-03,16.55,17.4294,16.55,17.22
5537,2021-11-02,16.49,16.878,16.1401,16.52
5536,2021-11-01,15.0,16.89,15.0,16.4963
5535,2021-10-29,14.75,15.1922,14.7489,15.0
5534,2021-10-28,14.8,14.8,14.618,14.75
5533,2021-10-27,14.66,14.9381,14.66,14.75
5532,2021-10-26,14.61,14.67,14.5,14.67
5531,2021-10-25,14.61,14.65,14.46,14.5
5530,2021-10-22,14.9,14.96,14.525,14.67
5529,2021-10-21,15.05,15.12,14.9,14.91
5528,2021-10-20,15.0,15.19,14.9,15.12
5527,2021-10-19,15.14,15.14,14.9,14.9
5526,2021-10-18,14.84,15.1,14.575,15.07
5525,2021-10-15,14.68,14.87,14.4841,14.76
5524,2021-10-14,14.74,14.74,14.48,14.69
5523,2021-10-13,14.6,14.7499,14.41,14.45
5522,2021-10-12,14.66,14.9,14.1,14.5
5521,2021-10-11,13.74,14.72,13.5,14.6559
5520,2021-10-08,12.84,12.9499,12.7,12.8
5519,2021-10-07,12.88,12.88,12.8,12.82
5518,2021-10-06,12.815,12.8435,12.75,12.83
5517,2021-10-05,12.89,12.9142,12.7301,12.88
5516,2021-10-04,12.74,12.95,12.74,12.78
5515,2021-10-01,12.75,12.95,12.75,12.77
5514,2021-09-30,12.705,12.74,12.667,12.7075
5513,2021-09-29,12.7095,12.7095,12.68,12.68
5512,2021-09-28,12.73,12.74,12.61,12.61
5511,2021-09-27,12.74,12.75,12.655,12.71
5510,2021-09-24,12.6101,12.74,12.6101,12.66
5509,2021-09-23,12.5901,12.6668,12.53,12.66
5508,2021-09-22,12.6097,12.68,12.5201,12.58
5507,2021-09-21,12.56,12.8382,12.51,12.52
5506,2021-09-20,12.51,12.71,12.5,12.55
5505,2021-09-17,12.51,12.6599,12.51,12.605
5504,2021-09-16,12.6,12.6399,12.5503,12.56
5503,2021-09-15,12.63,12.99,12.61,12.61
5502,2021-09-14,12.68,12.7514,12.68,12.7514
5501,2021-09-13,12.7,12.9157,12.7,12.72
5500,2021-09-10,12.95,12.95,12.7,12.7
5499,2021-09-09,12.92,12.9373,12.78,12.87
5498,2021-09-08,12.74,13.01,12.74,12.86
5497,2021-09-07,12.9,13.1596,12.67,12.85
5496,2021-09-03,12.89,12.9916,12.89,12.9184
5495,2021-09-02,12.8,12.99,12.74,12.87
5494,2021-09-01,12.7,12.91,12.69,12.8
5493,2021-08-31,12.6,12.75,12.6,12.62
5492,2021-08-30,12.69,12.75,12.6,12.65
5491,2021-08-27,12.6527,12.75,12.59,12.62
5490,2021-08-26,12.73,12.75,12.58,12.75
5489,2021-08-25,12.68,12.75,12.67,12.7
5488,2021-08-24,12.68,12.75,12.68,12.75
5487,2021-08-23,12.7594,12.94,12.685,12.75
5486,2021-08-20,12.75,12.89,12.645,12.78
5485,2021-08-19,12.76,12.99,12.73,12.78
5484,2021-08-18,12.65,12.98,12.57,12.75
5483,2021-08-17,12.79,12.99,12.73,12.73
5482,2021-08-16,12.79,13.0,12.695,12.75
5481,2021-08-13,13.0,13.0,12.635,12.95
5480,2021-08-12,12.57,12.75,12.5008,12.51
5479,2021-08-11,12.56,12.67,12.51,12.62
5478,2021-08-10,12.59,12.8169,12.55,12.56
5477,2021-08-09,12.71,12.745,12.545,12.65
