,Date,Open,High,Low,Close
1055,2021-12-31,9.72,9.8594,9.33,9.44
1054,2021-12-30,9.72,9.8835,9.57,9.64
1053,2021-12-29,9.78,9.85,9.4,9.67
1052,2021-12-28,9.75,10.1747,9.65,9.85
1051,2021-12-27,9.605,10.0,9.38,9.45
1050,2021-12-23,9.38,10.015,9.38,9.79
1049,2021-12-22,9.88,10.0827,9.34,9.44
1048,2021-12-21,10.34,10.5,9.51,9.78
1047,2021-12-20,10.16,10.64,9.95,10.39
1046,2021-12-17,9.92,10.38,9.86,10.32
1045,2021-12-16,9.8,10.3885,9.67,10.1
1044,2021-12-15,9.22,9.85,9.01,9.77
1043,2021-12-14,9.2,9.3,8.5501,9.24
1042,2021-12-13,8.52,8.94,8.3906,8.45
1041,2021-12-10,8.48,8.87,8.109,8.51
1040,2021-12-09,8.22,8.68,7.77,8.44
1039,2021-12-08,10.94,10.97,10.1,10.61
1038,2021-12-07,10.83,11.38,10.05,10.84
1037,2021-12-06,13.02,13.05,10.0,10.36
1036,2021-12-03,14.24,14.27,12.83,13.52
1035,2021-12-02,13.77,14.75,13.77,14.4
1034,2021-12-01,14.51,14.74,13.42,14.36
1033,2021-11-30,14.45,14.6888,13.8,14.5
1032,2021-11-29,15.685,16.41,13.99,14.48
1031,2021-11-26,14.2,15.66,13.77,15.61
1030,2021-11-24,12.79,14.18,12.51,13.88
1029,2021-11-23,12.05,12.6999,11.85,12.26
1028,2021-11-22,13.55,13.55,11.72,12.14
1027,2021-11-19,14.37,14.55,13.22,13.55
1026,2021-11-18,15.31,15.68,13.96,14.26
1025,2021-11-17,14.7,15.37,14.1586,15.25
1024,2021-11-16,14.28,15.0,13.92,14.72
1023,2021-11-15,13.4,15.83,13.1693,14.73
1022,2021-11-12,10.42,13.7371,10.42,13.4
1021,2021-11-11,11.05,11.1,10.48,11.0
1020,2021-11-10,10.89,11.0249,10.13,10.89
1019,2021-11-09,11.01,11.1909,10.4,10.9
1018,2021-11-08,10.98,11.23,10.8072,10.98
1017,2021-11-05,10.95,11.1624,10.51,10.83
1016,2021-11-04,12.8,13.25,10.9216,11.32
1015,2021-11-03,10.69,12.53,10.41,12.5
1014,2021-11-02,10.55,10.8797,10.2,10.8
1013,2021-11-01,10.18,10.41,10.16,10.33
1012,2021-10-29,10.1,10.3458,10.1,10.27
1011,2021-10-28,10.05,10.63,10.01,10.08
1010,2021-10-27,10.21,10.21,9.86,10.02
1009,2021-10-26,10.08,10.205,9.89,10.15
1008,2021-10-25,9.41,10.06,9.41,10.01
1007,2021-10-22,9.86,9.94,9.43,9.5
1006,2021-10-21,9.66,10.5739,9.63,10.06
1005,2021-10-20,10.0,10.2898,9.45,9.72
1004,2021-10-19,10.59,10.6284,9.0581,9.71
1003,2021-10-18,11.04,11.0998,10.44,10.63
1002,2021-10-15,11.37,11.37,10.94,11.04
1001,2021-10-14,11.55,11.78,11.2,11.3
1000,2021-10-13,11.22,11.5899,11.05,11.36
999,2021-10-12,11.02,11.3,10.67,11.27
998,2021-10-11,11.2,11.414,10.9,11.01
997,2021-10-08,10.7,11.35,10.7,11.21
996,2021-10-07,10.34,10.9445,10.2883,10.65
995,2021-10-06,10.26,10.381,10.1654,10.32
994,2021-10-05,10.33,10.56,10.14,10.39
993,2021-10-04,10.48,10.77,10.02,10.33
992,2021-10-01,11.02,11.19,10.5141,10.61
991,2021-09-30,10.86,11.235,10.75,11.12
990,2021-09-29,11.42,11.8104,10.76,10.77
989,2021-09-28,11.5,11.88,11.3357,11.42
988,2021-09-27,12.0,12.19,11.5763,11.64
987,2021-09-24,12.13,12.278,11.9,12.09
986,2021-09-23,12.09,12.55,11.8,12.34
985,2021-09-22,12.36,12.53,11.6,12.1
984,2021-09-21,11.95,12.8737,11.8001,12.54
983,2021-09-20,11.44,11.885,11.11,11.73
982,2021-09-17,12.1,12.24,11.2301,11.61
981,2021-09-16,11.56,12.64,11.41,12.03
980,2021-09-15,10.59,11.59,10.5,11.34
979,2021-09-14,10.31,11.175,10.21,10.68
978,2021-09-13,10.73,10.8768,10.32,10.33
977,2021-09-10,11.05,11.13,10.25,10.64
976,2021-09-09,11.17,11.5489,10.8211,11.04
975,2021-09-08,10.59,11.48,10.32,11.35
974,2021-09-07,10.23,10.88,10.2044,10.56
973,2021-09-03,10.26,10.4748,9.7701,10.37
972,2021-09-02,10.69,10.87,10.13,10.27
971,2021-09-01,10.94,11.02,10.31,10.68
970,2021-08-31,11.2,11.3714,10.88,11.0
969,2021-08-30,11.75,11.8507,10.65,11.29
968,2021-08-27,10.9,11.3929,10.53,11.39
967,2021-08-26,10.6,11.9,10.27,10.92
966,2021-08-25,9.42,10.73,9.17,10.3
965,2021-08-24,9.65,9.6718,9.02,9.54
964,2021-08-23,8.88,9.59,8.88,9.47
963,2021-08-20,9.2,9.47,8.69,8.75
962,2021-08-19,8.42,9.4163,8.4,9.23
961,2021-08-18,8.15,8.95,8.05,8.61
960,2021-08-17,7.82,7.85,7.46,7.58
959,2021-08-16,7.79,7.945,7.52,7.86
958,2021-08-13,8.0,8.06,7.71,7.82
957,2021-08-12,8.31,8.33,7.96,8.0
956,2021-08-11,7.88,8.34,7.5201,8.26
955,2021-08-10,8.21,8.6,7.7504,8.2
954,2021-08-09,8.34,8.72,8.25,8.59
953,2021-08-06,7.91,8.3,7.9,8.25
952,2021-08-05,8.04,8.17,7.68,7.93
951,2021-08-04,7.79,8.2496,7.79,7.95
950,2021-08-03,7.85,7.95,7.6885,7.85
949,2021-08-02,7.59,8.03,7.59,7.79
948,2021-07-30,7.61,7.89,7.41,7.88
947,2021-07-29,7.76,7.89,7.6012,7.67
946,2021-07-28,7.82,7.98,7.52,7.79
945,2021-07-27,7.09,8.28,7.09,7.86
944,2021-07-26,7.9,7.9884,7.08,7.12
943,2021-07-23,8.15,8.19,7.89,8.0
942,2021-07-22,8.8,8.9999,7.86,8.21
941,2021-07-21,7.05,9.3,6.9796,8.4
940,2021-07-20,6.61,7.2,6.61,6.93
939,2021-07-19,6.055,6.67,6.055,6.61
938,2021-07-16,6.63,6.68,6.31,6.33
937,2021-07-15,6.58,6.79,6.43,6.62
936,2021-07-14,6.72,7.02,6.5,6.58
935,2021-07-13,6.66,6.8,6.43,6.77
934,2021-07-12,6.3,6.82,6.21,6.73
933,2021-07-09,6.08,6.45,5.98,6.26
932,2021-07-08,5.81,6.1195,5.75,6.03
931,2021-07-07,6.2,6.29,5.85,5.9
930,2021-07-06,6.3,6.38,6.06,6.09
929,2021-07-02,6.25,6.33,6.1509,6.27
928,2021-07-01,6.48,6.5,6.28,6.29
927,2021-06-30,6.6,6.64,6.35,6.48
926,2021-06-29,7.02,7.09,6.51,6.68
925,2021-06-28,7.16,7.32,6.6147,7.05
924,2021-06-25,6.68,7.2,6.55,7.15
923,2021-06-24,6.28,6.76,6.18,6.66
922,2021-06-23,5.96,6.17,5.873,6.08
921,2021-06-22,5.72,6.28,5.65,6.17
920,2021-06-21,5.18,5.2,5.03,5.1
919,2021-06-18,5.32,5.36,5.11,5.13
918,2021-06-17,5.36,5.4,5.15,5.34
917,2021-06-16,5.48,5.48,5.17,5.31
916,2021-06-15,5.5,5.6,5.29,5.39
915,2021-06-14,5.5,5.63,5.41,5.44
914,2021-06-11,5.3,5.53,5.25,5.51
913,2021-06-10,5.33,5.43,5.15,5.25
912,2021-06-09,5.25,5.38,5.19,5.3
911,2021-06-08,4.97,5.28,4.91,5.23
910,2021-06-07,4.98,4.98,4.885,4.91
909,2021-06-04,4.77,4.95,4.76,4.91
908,2021-06-03,4.98,5.06,4.6201,4.72
907,2021-06-02,4.91,5.07,4.87,4.99
906,2021-06-01,4.98,5.05,4.82,4.91
905,2021-05-28,5.0,5.12,4.8,4.95
904,2021-05-27,5.03,5.15,4.95,4.97
903,2021-05-26,5.0,5.1,4.92,5.03
902,2021-05-25,5.0,5.05,4.88,4.92
901,2021-05-24,5.13,5.19,4.94,4.98
900,2021-05-21,5.19,5.28,5.1,5.14
899,2021-05-20,5.07,5.26,5.01,5.13
898,2021-05-19,5.03,5.115,4.91,5.06
897,2021-05-18,4.97,5.17,4.9,5.04
896,2021-05-17,4.98,5.14,4.72,5.0
895,2021-05-14,5.135,5.17,4.8742,5.03
894,2021-05-13,5.42,5.45,4.8,4.97
893,2021-05-12,5.11,5.2263,5.02,5.12
892,2021-05-11,4.92,5.31,4.9,5.18
891,2021-05-10,5.13,5.18,4.86,5.02
890,2021-05-07,5.37,5.37,5.05,5.18
889,2021-05-06,5.28,5.2946,4.92,5.27
888,2021-05-05,5.5,5.55,5.28,5.3
887,2021-05-04,5.73,5.8,5.36,5.4
886,2021-05-03,6.18,6.2,5.63,5.77
885,2021-04-30,6.06,6.16,5.91,6.14
884,2021-04-29,6.1,6.27,5.92,6.14
883,2021-04-28,5.59,6.11,5.5001,6.08
882,2021-04-27,5.6,5.6473,5.32,5.47
881,2021-04-26,5.56,5.6626,5.38,5.59
880,2021-04-23,5.36,5.54,5.24,5.53
879,2021-04-22,5.23,5.4288,5.18,5.31
878,2021-04-21,5.19,5.2608,5.1,5.22
877,2021-04-20,5.29,5.3258,5.03,5.21
876,2021-04-19,5.38,5.38,5.0938,5.31
875,2021-04-16,5.54,5.54,5.11,5.45
874,2021-04-15,5.62,5.62,5.19,5.51
873,2021-04-14,5.52,5.65,5.41,5.54
872,2021-04-13,5.54,5.68,5.15,5.43
871,2021-04-12,5.93,5.93,5.46,5.53
870,2021-04-09,6.01,6.1,5.87,5.95
869,2021-04-08,5.74,6.22,5.55,6.06
868,2021-04-07,5.87,5.9817,5.66,5.73
867,2021-04-06,5.96,5.97,5.66,5.85
866,2021-04-05,5.68,5.9,5.58,5.87
865,2021-04-01,5.51,5.67,5.36,5.56
864,2021-03-31,5.3,5.54,5.15,5.5
863,2021-03-30,5.1,5.27,5.06,5.23
862,2021-03-29,5.38,5.47,5.02,5.135
861,2021-03-26,5.605,5.605,5.2,5.32
860,2021-03-25,5.1086,5.44,5.1,5.33
859,2021-03-24,5.55,5.656,5.23,5.23
858,2021-03-23,5.84,5.84,5.4,5.48
857,2021-03-22,6.125,6.125,5.6,5.65
856,2021-03-19,6.11,6.65,5.84,5.88
855,2021-03-18,6.37,6.41,6.01,6.02
854,2021-03-17,6.09,6.41,6.0437,6.4
853,2021-03-16,6.18,6.39,6.13,6.19
852,2021-03-15,6.15,6.32,6.001,6.18
851,2021-03-12,6.22,6.23,5.9,6.14
