,Date,Open,High,Low,Close
3994,2021-12-31,12.58,12.72,12.47,12.47
3993,2021-12-30,12.42,12.77,12.42,12.7
3992,2021-12-29,12.11,12.57,12.1085,12.5
3991,2021-12-28,12.26,12.3366,12.13,12.15
3990,2021-12-27,12.34,12.4,12.27,12.29
3989,2021-12-23,12.04,12.63,12.04,12.39
3988,2021-12-22,12.15,12.5,12.15,12.2
3987,2021-12-21,12.07,12.54,12.0,12.33
3986,2021-12-20,12.05,12.31,11.73,12.12
3985,2021-12-17,12.27,12.36,12.11,12.26
3984,2021-12-16,12.51,12.67,12.33,12.35
3983,2021-12-15,12.5,12.88,12.38,12.51
3982,2021-12-14,12.6,13.07,12.54,12.59
3981,2021-12-13,13.4,13.4,12.42,12.43
3980,2021-12-10,13.5,13.5243,13.42,13.47
3979,2021-12-09,13.79,13.79,13.55,13.55
3978,2021-12-08,13.53,13.775,13.5,13.72
3977,2021-12-07,13.6,13.7803,13.55,13.55
3976,2021-12-06,13.6,13.84,13.6,13.67
3975,2021-12-03,13.63,13.87,13.6,13.6
3974,2021-12-02,13.91,14.05,13.5,13.63
3973,2021-12-01,14.0,14.0931,13.7408,13.91
3972,2021-11-30,14.05,14.06,13.89,13.92
3971,2021-11-29,14.26,14.4,13.95,14.05
3970,2021-11-26,14.15,14.35,13.91,14.35
3969,2021-11-24,14.1,14.46,14.08,14.26
3968,2021-11-23,14.62,14.7,13.99,14.07
3967,2021-11-22,14.5,14.75,14.435,14.7
3966,2021-11-19,14.69,14.75,14.64,14.65
3965,2021-11-18,14.7,14.82,14.65,14.8
3964,2021-11-17,14.66,14.8832,14.6,14.72
3963,2021-11-16,15.0,15.0,14.75,14.76
3962,2021-11-15,14.91,15.15,14.8801,14.99
3961,2021-11-12,15.06,15.12,14.89,14.98
3960,2021-11-11,15.0,15.29,14.92,15.1
3959,2021-11-10,15.03,15.143,14.8604,15.01
3958,2021-11-09,15.08,15.12,14.72,15.05
3957,2021-11-08,14.6,15.28,14.6,15.09
3956,2021-11-05,15.62,15.76,14.29,14.86
3955,2021-11-04,15.7,15.84,15.56,15.84
3954,2021-11-03,15.92,15.92,15.6301,15.67
3953,2021-11-02,15.72,15.79,15.555,15.68
3952,2021-11-01,15.66,15.87,15.66,15.75
3951,2021-10-29,15.75,15.97,15.61,15.7
3950,2021-10-28,15.77,15.99,15.735,15.84
3949,2021-10-27,15.84,15.99,15.8,15.84
3948,2021-10-26,15.88,15.99,15.73,15.98
3947,2021-10-25,15.65,16.02,15.65,15.91
3946,2021-10-22,15.9,15.9,15.66,15.71
3945,2021-10-21,15.9,16.03,15.83,15.98
3944,2021-10-20,15.67,15.91,15.67,15.91
3943,2021-10-19,15.65,15.89,15.65,15.72
3942,2021-10-18,15.71,15.85,15.63,15.67
3941,2021-10-15,15.6,16.18,15.6,15.71
3940,2021-10-14,15.91,15.9382,15.6,15.62
3939,2021-10-13,15.82,15.9,15.66,15.87
