,Date,Open,High,Low,Close
617,2021-12-31,2.0,2.0,2.0,2.0
616,2021-12-30,2.0,2.0,2.0,2.0
615,2021-12-29,2.0,2.0,2.0,2.0
614,2021-12-28,2.0,2.0,2.0,2.0
613,2021-12-27,2.0,2.0,2.0,2.0
612,2021-12-23,1.3701,2.0,1.3701,2.0
611,2021-12-22,2.1,2.3,2.1,2.2
610,2021-12-21,2.6,2.6,2.6,2.6
609,2021-12-20,2.6,2.6,2.6,2.6
608,2021-12-17,0.8001,0.8001,0.8001,0.8001
607,2021-12-16,0.8001,0.8001,0.8001,0.8001
606,2021-12-15,0.8001,0.8001,0.8001,0.8001
605,2021-12-14,1.9,1.9,1.9,1.9
604,2021-12-13,1.9,1.9,1.9,1.9
603,2021-12-10,1.4,1.9,1.4,1.9
602,2021-12-09,1.0,1.0,1.0,1.0
601,2021-12-08,1.0,1.0,1.0,1.0
600,2021-12-07,1.0,1.0,1.0,1.0
599,2021-12-06,1.35,1.35,1.35,1.35
598,2021-12-03,1.35,1.35,1.35,1.35
597,2021-12-02,1.35,1.35,1.35,1.35
596,2021-12-01,1.45,1.45,0.85,1.35
595,2021-11-30,2.2,2.2,2.2,2.2
594,2021-11-29,2.2,2.2,2.2,2.2
593,2021-11-26,2.2,2.2,2.2,2.2
592,2021-11-24,2.2,2.2,2.2,2.2
591,2021-11-23,2.2,2.2,2.2,2.2
590,2021-11-22,2.2,2.2,2.2,2.2
589,2021-11-19,2.2,2.2,2.2,2.2
588,2021-11-18,2.2,2.2,2.2,2.2
587,2021-11-17,2.2,2.2,2.2,2.2
586,2021-11-16,2.2,2.2,2.2,2.2
585,2021-11-15,2.2,2.2,2.2,2.2
584,2021-11-12,2.2,2.2,2.2,2.2
583,2021-11-11,2.2,2.2,2.2,2.2
582,2021-11-10,2.2,2.2,2.2,2.2
581,2021-11-09,2.2,2.2,2.2,2.2
580,2021-11-08,2.2,2.2,2.2,2.2
579,2021-11-05,2.2,2.2,2.2,2.2
578,2021-11-04,2.2,2.2,2.2,2.2
577,2021-11-03,2.2,2.2,2.2,2.2
576,2021-11-02,2.2,2.2,2.2,2.2
575,2021-11-01,2.2,2.2,2.2,2.2
574,2021-10-29,2.2,2.2,2.2,2.2
573,2021-10-28,2.2,2.2,2.2,2.2
572,2021-10-27,2.16,2.16,2.16,2.16
571,2021-10-26,2.16,2.16,2.16,2.16
570,2021-10-25,2.16,2.16,2.16,2.16
569,2021-10-22,2.16,2.16,2.16,2.16
568,2021-10-21,2.16,2.16,2.16,2.16
567,2021-10-20,2.16,2.16,2.16,2.16
566,2021-10-19,2.16,2.16,2.16,2.16
565,2021-10-18,2.16,2.16,2.16,2.16
564,2021-10-15,2.16,2.16,2.16,2.16
563,2021-10-14,2.16,2.16,2.16,2.16
562,2021-10-13,2.16,2.16,2.16,2.16
561,2021-10-12,2.16,2.16,2.16,2.16
560,2021-10-11,2.16,2.16,2.16,2.16
559,2021-10-08,2.16,2.16,2.16,2.16
558,2021-10-07,2.16,2.16,2.16,2.16
557,2021-10-06,1.93,1.93,1.93,1.93
556,2021-10-05,1.93,1.93,1.93,1.93
555,2021-10-04,1.93,1.93,1.93,1.93
554,2021-10-01,1.93,1.93,1.93,1.93
553,2021-09-30,1.72,1.93,1.65,1.93
552,2021-09-29,1.72,1.72,1.72,1.72
551,2021-09-28,1.72,1.72,1.72,1.72
550,2021-09-27,1.72,1.72,1.72,1.72
549,2021-09-24,1.72,1.72,1.72,1.72
548,2021-09-23,1.72,1.72,1.72,1.72
547,2021-09-22,1.72,1.72,1.72,1.72
546,2021-09-21,1.72,1.72,1.72,1.72
545,2021-09-20,1.72,1.72,1.72,1.72
544,2021-09-17,1.72,1.72,1.72,1.72
543,2021-09-16,1.72,1.72,1.72,1.72
542,2021-09-15,1.72,1.72,1.72,1.72
541,2021-09-14,1.72,1.72,1.72,1.72
