,Date,Open,High,Low,Close
1881,2021-12-31,1.4,1.419,1.28,1.29
1880,2021-12-30,1.28,1.4,1.275,1.33
1879,2021-12-29,1.33,1.33,1.25,1.27
1878,2021-12-28,1.43,1.45,1.32,1.33
1877,2021-12-27,1.42,1.48,1.4,1.46
1876,2021-12-23,1.42,1.47,1.4,1.44
1875,2021-12-22,1.45,1.45,1.39,1.42
1874,2021-12-21,1.38,1.44,1.36,1.44
1873,2021-12-20,1.3,1.41,1.3,1.41
1872,2021-12-17,1.34,1.42,1.33,1.39
1871,2021-12-16,1.38,1.42,1.32,1.37
1870,2021-12-15,1.33,1.43,1.25,1.42
1869,2021-12-14,1.37,1.41,1.3101,1.32
1868,2021-12-13,1.37,1.45,1.339,1.44
1867,2021-12-10,1.38,1.4292,1.3607,1.39
1866,2021-12-09,1.39,1.41,1.38,1.38
1865,2021-12-08,1.42,1.51,1.3701,1.39
1864,2021-12-07,1.37,1.48,1.35,1.44
1863,2021-12-06,1.29,1.38,1.2506,1.35
1862,2021-12-03,1.34,1.34,1.24,1.3
1861,2021-12-02,1.29,1.35,1.29,1.34
1860,2021-12-01,1.44,1.44,1.21,1.3
1859,2021-11-30,1.4,1.45,1.38,1.42
1858,2021-11-29,1.46,1.4699,1.38,1.4
1857,2021-11-26,1.46,1.47,1.41,1.455
1856,2021-11-24,1.56,1.57,1.47,1.48
1855,2021-11-23,1.42,1.57,1.39,1.56
1854,2021-11-22,1.39,1.4196,1.36,1.4
1853,2021-11-19,1.41,1.5,1.41,1.48
1852,2021-11-18,1.53,1.54,1.4,1.42
1851,2021-11-17,1.61,1.6273,1.52,1.55
1850,2021-11-16,1.68,1.7,1.6,1.62
1849,2021-11-15,1.7,1.73,1.69,1.7
1848,2021-11-12,1.67,1.72,1.6601,1.7
1847,2021-11-11,1.72,1.72,1.6615,1.67
1846,2021-11-10,1.73,1.7599,1.68,1.71
1845,2021-11-09,1.76,1.78,1.73,1.73
1844,2021-11-08,1.74,1.8,1.74,1.75
1843,2021-11-05,1.8,1.8334,1.74,1.76
1842,2021-11-04,1.85,1.8599,1.78,1.81
1841,2021-11-03,1.75,1.8699,1.75,1.83
1840,2021-11-02,1.7292,1.78,1.71,1.77
1839,2021-11-01,1.67,1.78,1.67,1.77
1838,2021-10-29,1.7,1.73,1.65,1.67
1837,2021-10-28,1.67,1.77,1.66,1.69
1836,2021-10-27,1.71,1.71,1.6101,1.68
1835,2021-10-26,1.69,1.75,1.67,1.68
1834,2021-10-25,1.7,1.74,1.66,1.69
1833,2021-10-22,1.79,1.8,1.6638,1.695
1832,2021-10-21,1.77,1.85,1.75,1.8
1831,2021-10-20,1.76,1.78,1.7401,1.76
1830,2021-10-19,1.73,1.78,1.7,1.76
1829,2021-10-18,1.82,1.82,1.7,1.71
1828,2021-10-15,1.85,1.86,1.8,1.8
1827,2021-10-14,1.86,1.9,1.86,1.87
1826,2021-10-13,1.85,1.88,1.8,1.86
1825,2021-10-12,1.96,1.98,1.895,1.91
1824,2021-10-11,1.9,2.0599,1.9,1.96
1823,2021-10-08,1.86,2.0,1.82,1.9
1822,2021-10-07,1.9,1.9,1.78,1.85
1821,2021-10-06,1.77,1.96,1.76,1.86
1820,2021-10-05,1.89,1.8966,1.76,1.83
1819,2021-10-04,2.07,2.08,1.81,1.84
1818,2021-10-01,2.06,2.29,1.98,2.08
1817,2021-09-30,2.08,2.152,2.04,2.05
1816,2021-09-29,2.04,2.11,1.96,2.0
1815,2021-09-28,2.1,2.1,2.01,2.04
1814,2021-09-27,2.22,2.37,2.067,2.12
1813,2021-09-24,2.27,2.28,2.19,2.22
1812,2021-09-23,2.34,2.35,2.24,2.24
1811,2021-09-22,2.27,2.42,2.23,2.28
1810,2021-09-21,2.23,2.2994,2.21,2.26
1809,2021-09-20,2.21,2.35,2.2,2.27
1808,2021-09-17,2.34,2.37,2.17,2.35
1807,2021-09-16,2.37,2.39,2.31,2.34
1806,2021-09-15,2.42,2.4899,2.38,2.38
1805,2021-09-14,2.52,2.57,2.37,2.4
1804,2021-09-13,2.52,2.55,2.41,2.52
1803,2021-09-10,2.63,2.65,2.5,2.5
1802,2021-09-09,2.6,2.7,2.6,2.63
1801,2021-09-08,2.62,2.68,2.52,2.63
1800,2021-09-07,2.6957,2.74,2.58,2.62
1799,2021-09-03,2.8357,2.86,2.67,2.71
1798,2021-09-02,2.91,2.955,2.82,2.86
1797,2021-09-01,3.1,3.1,2.88,2.91
1796,2021-08-31,3.02,3.09,2.94,2.98
1795,2021-08-30,3.05,3.14,2.96,3.0
1794,2021-08-27,3.12,3.1595,2.9836,3.0
1793,2021-08-26,3.1397,3.27,3.08,3.12
1792,2021-08-25,3.2431,3.29,3.1,3.14
1791,2021-08-24,3.24,3.42,3.15,3.29
1790,2021-08-23,3.18,3.35,3.05,3.17
1789,2021-08-20,3.26,3.35,3.14,3.2
1788,2021-08-19,3.04,3.34,2.95,3.21
1787,2021-08-18,2.85,3.4,2.83,3.13
1786,2021-08-17,3.2,3.27,2.88,2.94
1785,2021-08-16,3.42,3.44,3.2,3.24
1784,2021-08-13,3.62,3.67,3.18,3.45
1783,2021-08-12,3.82,4.44,3.63,3.65
1782,2021-08-11,3.87,3.93,3.08,3.24
1781,2021-08-10,3.53,4.34,3.46,3.94
1780,2021-08-09,3.42,3.76,3.42,3.46
1779,2021-08-06,3.53,3.67,3.3304,3.55
1778,2021-08-05,3.35,3.79,3.18,3.58
1777,2021-08-04,3.66,4.0,3.375,3.4
1776,2021-08-03,4.47,4.53,3.45,3.52
1775,2021-08-02,4.0,5.68,3.95,4.46
1774,2021-07-30,4.46,4.97,3.82,4.07
1773,2021-07-29,3.02,5.36,3.01,5.3
1772,2021-07-28,2.93,3.53,2.93,3.21
1771,2021-07-27,2.92,3.72,2.56,3.17
1770,2021-07-26,3.29,4.06,2.75,3.03
1769,2021-07-23,2.2,4.75,2.18,2.52
1768,2021-07-22,1.83,1.88,1.8,1.86
1767,2021-07-21,1.76,1.96,1.76,1.91
1766,2021-07-20,1.87,1.9027,1.72,1.76
1765,2021-07-19,1.73,1.79,1.65,1.73
1764,2021-07-16,1.9,1.9377,1.76,1.77
1763,2021-07-15,2.06,2.1,1.9,1.93
1762,2021-07-14,2.16,2.24,1.94,2.14
1761,2021-07-13,2.04,3.23,1.99,2.46
1760,2021-07-12,1.96,2.05,1.88,2.03
1759,2021-07-09,1.8999,1.98,1.87,1.94
1758,2021-07-08,1.84,1.87,1.7601,1.87
1757,2021-07-07,1.9252,1.93,1.83,1.84
1756,2021-07-06,1.96,1.96,1.9,1.9239
1755,2021-07-02,1.97,2.0,1.92,1.99
1754,2021-07-01,2.04,2.0401,1.97,1.99
1753,2021-06-30,2.0,2.09,1.97,2.04
1752,2021-06-29,2.07,2.11,1.96,2.0
1751,2021-06-28,1.98,2.1065,1.98,2.03
1750,2021-06-25,2.07,2.14,2.04,2.06
1749,2021-06-24,2.13,2.1444,2.05,2.08
1748,2021-06-23,2.02,2.15,2.0,2.13
1747,2021-06-22,2.01,2.13,2.001,2.04
1746,2021-06-21,2.16,2.1606,1.955,1.97
1745,2021-06-18,2.12,2.18,2.06,2.15
1744,2021-06-17,2.2,2.28,2.07,2.09
1743,2021-06-16,2.2,2.24,2.08,2.21
1742,2021-06-15,2.33,2.3581,2.2,2.23
1741,2021-06-14,2.25,2.74,2.22,2.45
1740,2021-06-11,2.28,2.28,2.2,2.2
1739,2021-06-10,2.27,2.3799,2.2,2.255
1738,2021-06-09,2.2,2.3699,2.2,2.285
