,Date,Open,High,Low,Close
2211,2021-11-24,26.7,26.7,26.7,26.7
2210,2021-11-22,26.7,26.7,26.7,26.7
2209,2021-11-18,26.7,26.7,26.7,26.7
2208,2021-11-12,26.7,26.7,26.7,26.7
2207,2021-11-11,26.35,27.14,26.13,26.7
2206,2021-11-10,27.05,27.17,25.74,26.0
2205,2021-11-09,27.63,27.83,26.69,27.37
2204,2021-11-08,26.76,28.2,26.76,28.07
2203,2021-11-05,26.65,27.285,26.07,26.76
2202,2021-11-04,27.41,28.88,26.88,27.17
2201,2021-11-03,25.74,27.06,25.5899,26.92
2200,2021-11-02,25.5779,25.8828,24.92,25.78
2199,2021-11-01,23.0,26.15,23.0,25.57
2198,2021-10-29,23.0,23.41,22.78,23.02
2197,2021-10-28,21.95,22.545,21.886,22.49
2196,2021-10-27,22.2,22.4,21.83,21.96
2195,2021-10-26,22.55,22.64,22.1,22.18
2194,2021-10-25,22.07,22.79,21.96,22.59
2193,2021-10-22,22.78,22.78,21.92,22.08
2192,2021-10-21,22.46,23.05,22.3093,22.92
2191,2021-10-20,22.35,22.698,22.15,22.52
2190,2021-10-19,22.21,22.58,22.05,22.4
2189,2021-10-18,21.67,22.16,21.595,22.0
2188,2021-10-15,22.8,22.8,21.65,21.78
2187,2021-10-14,23.22,23.26,22.45,22.6
2186,2021-10-13,22.72,23.0,22.5,22.97
2185,2021-10-12,22.55,22.93,22.55,22.65
2184,2021-10-11,22.72,23.19,22.54,22.54
2183,2021-10-08,23.04,23.31,22.53,22.73
2182,2021-10-07,22.62,23.25,22.523,23.03
2181,2021-10-06,22.44,22.64,22.22,22.44
2180,2021-10-05,22.45,23.13,22.45,22.67
2179,2021-10-04,23.16,23.16,22.4,22.49
2178,2021-10-01,23.39,23.39,22.96,23.27
2177,2021-09-30,23.02,23.52,22.94,23.38
2176,2021-09-29,23.26,23.37,22.86,23.01
2175,2021-09-28,23.57,23.75,23.07,23.14
2174,2021-09-27,23.53,24.08,23.25,23.72
2173,2021-09-24,23.59,23.82,23.36,23.62
2172,2021-09-23,23.37,23.92,23.37,23.87
2171,2021-09-22,23.45,23.69,23.23,23.32
2170,2021-09-21,23.27,23.42,23.0101,23.33
2169,2021-09-20,22.87,23.29,22.73,23.27
2168,2021-09-17,23.4,23.63,23.23,23.48
2167,2021-09-16,23.55,23.55,22.77,23.4
2166,2021-09-15,23.2,23.7,23.0,23.69
2165,2021-09-14,23.53,23.805,23.0,23.22
2164,2021-09-13,23.98,23.98,23.27,23.48
2163,2021-09-10,24.51,24.51,23.76,23.76
2162,2021-09-09,24.11,24.82,24.01,24.31
