,Date,Open,High,Low,Close
3632,2021-12-31,70.21,70.665,68.28,68.28
3631,2021-12-30,70.27,72.27,69.68,70.28
3630,2021-12-29,70.12,70.5,68.655,70.29
3629,2021-12-28,70.76,72.03,69.31,70.14
3628,2021-12-27,68.11,71.775,68.1,71.57
3627,2021-12-23,68.88,69.76,68.28,68.51
3626,2021-12-22,67.73,69.595,65.51,68.63
3625,2021-12-21,65.21,67.45,64.42,67.42
3624,2021-12-20,66.08,66.08,63.635,64.63
3623,2021-12-17,64.98,68.5,64.98,67.14
3622,2021-12-16,67.76,68.43,65.44,66.96
3621,2021-12-15,64.96,67.62,63.79,67.46
3620,2021-12-14,63.07,65.37,61.75,65.05
3619,2021-12-13,65.12,65.77,63.0,63.32
3618,2021-12-10,67.73,68.17,64.11,65.79
3617,2021-12-09,68.0,68.7199,66.79,67.43
3616,2021-12-08,67.65,69.32,66.32,68.29
3615,2021-12-07,67.46,70.5067,67.26,67.72
3614,2021-12-06,64.88,66.6,61.2101,66.19
3613,2021-12-03,65.48,66.0,63.14,65.42
3612,2021-12-02,70.6,70.615,62.55,65.48
3611,2021-12-01,73.46,74.33,69.47,69.58
3610,2021-11-30,72.33,72.81,70.35,71.89
3609,2021-11-29,73.65,74.46,71.68,72.43
3608,2021-11-26,72.5,73.65,71.1,72.09
3607,2021-11-24,72.22,75.98,72.0,74.59
3606,2021-11-23,76.79,78.2,72.18,73.22
3605,2021-11-22,75.59,77.85,74.3401,76.52
3604,2021-11-19,75.35,76.71,74.75,75.6
3603,2021-11-18,76.1,77.605,74.6,75.71
3602,2021-11-17,76.73,77.66,75.11,75.76
3601,2021-11-16,73.05,76.9,73.05,76.73
3600,2021-11-15,71.06,74.3571,70.78,73.54
3599,2021-11-12,70.71,71.45,69.004,70.78
3598,2021-11-11,74.7,76.49,70.28,70.42
3597,2021-11-10,74.58,76.645,72.31,74.5
3596,2021-11-09,72.0,77.17,67.1401,75.15
3595,2021-11-08,74.44,75.26,71.03,71.03
3594,2021-11-05,77.88,77.88,72.07,75.0
3593,2021-11-04,79.0,79.705,77.09,77.47
3592,2021-11-03,76.87,79.24,75.01,77.93
3591,2021-11-02,79.67,79.67,76.14,77.16
3590,2021-11-01,76.89,79.8217,76.58,79.42
3589,2021-10-29,75.04,76.24,73.53,75.9
3588,2021-10-28,73.41,75.76,72.5,75.35
3587,2021-10-27,74.57,75.71,72.87,73.31
3586,2021-10-26,76.4,78.04,74.56,75.07
3585,2021-10-25,77.03,78.75,76.18,76.18
3584,2021-10-22,77.0,77.5,75.8,76.7
3583,2021-10-21,76.51,78.345,76.51,77.03
3582,2021-10-20,72.02,76.98,71.71,76.92
3581,2021-10-19,72.84,73.155,71.56,72.35
3580,2021-10-18,70.24,73.11,69.01,72.17
3579,2021-10-15,72.84,73.86,70.54,70.65
3578,2021-10-14,70.85,72.77,70.27,71.4
3577,2021-10-13,71.23,73.5,70.94,71.13
3576,2021-10-12,72.59,74.31,70.3,70.57
3575,2021-10-11,75.27,77.5,72.5,72.59
3574,2021-10-08,76.52,77.35,75.45,75.73
3573,2021-10-07,74.95,77.75,74.04,76.36
3572,2021-10-06,75.96,77.09,73.21,74.24
3571,2021-10-05,76.0,79.27,75.2,77.0
3570,2021-10-04,73.47,75.83,71.73,75.62
3569,2021-10-01,76.18,76.18,71.17,73.52
3568,2021-09-30,76.21,77.37,75.0,75.86
3567,2021-09-29,77.2,77.2,73.68,76.12
3566,2021-09-28,78.56,78.56,75.34,77.03
3565,2021-09-27,80.75,80.75,78.2,79.59
3564,2021-09-24,81.19,83.75,79.01,80.98
3563,2021-09-23,83.76,84.11,80.74,82.18
3562,2021-09-22,83.91,86.08,82.2,83.09
