,Date,Open,High,Low,Close
4559,2021-12-31,18.92,19.175,18.89,18.91
4558,2021-12-30,18.86,19.305,18.8,18.96
4557,2021-12-29,19.11,19.2,18.8,18.85
4556,2021-12-28,19.53,19.69,19.08,19.1
4555,2021-12-27,19.35,19.64,19.21,19.5
4554,2021-12-23,19.46,19.5,19.21,19.38
4553,2021-12-22,19.35,19.45,19.15,19.44
4552,2021-12-21,19.28,19.55,19.28,19.39
4551,2021-12-20,19.4,19.6,18.699,19.08
4550,2021-12-17,19.34,20.25,19.2,19.77
4549,2021-12-16,20.09,20.28,19.07,19.25
4548,2021-12-15,19.78,20.18,19.52,20.01
4547,2021-12-14,20.28,20.72,19.675,19.72
4546,2021-12-13,19.93,20.54,19.93,20.42
4545,2021-12-10,19.99,20.54,19.81,20.01
4544,2021-12-09,19.77,20.305,19.72,19.87
4543,2021-12-08,19.67,20.06,19.65,20.0
4542,2021-12-07,19.71,20.09,19.6,19.69
4541,2021-12-06,18.71,19.59,18.7,19.48
4540,2021-12-03,18.9,18.95,18.28,18.42
4539,2021-12-02,18.14,18.945,18.1,18.79
4538,2021-12-01,18.35,18.81,18.08,18.13
4537,2021-11-30,17.76,18.01,17.19,17.92
4536,2021-11-29,18.22,18.34,17.79,17.91
4535,2021-11-26,18.22,18.36,17.57,18.17
4534,2021-11-24,18.68,18.86,18.56,18.74
4533,2021-11-23,18.95,19.15,18.73,18.84
4532,2021-11-22,19.11,19.45,19.001,19.03
4531,2021-11-19,19.2945,19.58,19.03,19.08
4530,2021-11-18,19.55,19.6,18.91,19.32
4529,2021-11-17,19.74,19.74,19.33,19.55
4528,2021-11-16,19.46,19.77,19.43,19.68
4527,2021-11-15,19.38,19.55,19.22,19.52
4526,2021-11-12,19.11,19.58,19.06,19.31
4525,2021-11-11,18.71,19.17,18.71,19.11
4524,2021-11-10,18.28,19.02,18.28,18.68
4523,2021-11-09,18.85,18.85,17.81,18.4
4522,2021-11-08,19.03,19.2,18.9,19.06
4521,2021-11-05,18.64,19.48,18.425,18.97
4520,2021-11-04,18.78,18.86,18.46,18.49
4519,2021-11-03,18.09,18.85,18.0316,18.78
4518,2021-11-02,18.35,18.44,18.13,18.28
4517,2021-11-01,17.95,18.4,17.85,18.32
4516,2021-10-29,17.61,17.93,17.61,17.92
4515,2021-10-28,17.81,18.11,17.7,17.72
4514,2021-10-27,17.84,18.105,17.43,17.66
4513,2021-10-26,18.18,18.3,17.89,17.95
4512,2021-10-25,18.22,18.31,18.05,18.1
4511,2021-10-22,18.12,18.67,18.02,18.16
4510,2021-10-21,18.11,18.283,17.94,18.16
4509,2021-10-20,18.15,18.34,18.15,18.32
4508,2021-10-19,18.36,18.58,18.15,18.16
4507,2021-10-18,18.55,18.585,18.15,18.24
4506,2021-10-15,19.1,19.13,18.58,18.62
4505,2021-10-14,18.78,19.13,18.61,18.83
4504,2021-10-13,18.48,18.6,18.285,18.55
4503,2021-10-12,18.28,18.495,18.2,18.46
4502,2021-10-11,18.12,18.305,18.02,18.18
4501,2021-10-08,18.48,18.51,18.1,18.19
4500,2021-10-07,18.34,18.655,18.28,18.41
4499,2021-10-06,18.26,18.44,17.89,18.13
4498,2021-10-05,18.18,18.54,18.16,18.48
4497,2021-10-04,18.81,18.81,18.1,18.18
4496,2021-10-01,18.78,19.16,18.71,18.92
4495,2021-09-30,19.1,19.37,18.79,18.84
4494,2021-09-29,19.15,19.35,18.92,19.0
4493,2021-09-28,19.41,19.55,19.07,19.12
4492,2021-09-27,19.39,19.88,19.35,19.58
4491,2021-09-24,19.19,19.56,19.12,19.35
4490,2021-09-23,19.08,19.54,19.02,19.35
4489,2021-09-22,18.96,19.229,18.765,19.01
4488,2021-09-21,19.15,19.26,18.77,18.8
4487,2021-09-20,19.03,19.36,18.75,19.02
4486,2021-09-17,20.15,20.32,19.445,19.62
4485,2021-09-16,20.15,20.39,19.69,20.12
4484,2021-09-15,19.79,20.28,19.65,20.19
4483,2021-09-14,20.5,20.55,19.71,19.81
4482,2021-09-13,20.01,20.51,19.925,20.47
4481,2021-09-10,20.03,20.19,19.75,19.81
4480,2021-09-09,20.02,20.5,19.91,19.96
4479,2021-09-08,20.67,20.67,19.99,20.11
4478,2021-09-07,20.72,21.23,20.53,20.78
4477,2021-09-03,20.97,21.14,20.7,20.81
4476,2021-09-02,21.06,21.395,20.94,20.96
4475,2021-09-01,21.21,21.36,20.64,21.12
4474,2021-08-31,21.41,21.73,21.26,21.37
4473,2021-08-30,21.84,21.92,21.37,21.47
4472,2021-08-27,20.99,21.82,20.99,21.78
4471,2021-08-26,21.15,21.3,20.86,20.97
4470,2021-08-25,21.32,21.59,21.08,21.09
4469,2021-08-24,21.22,21.49,21.21,21.33
4468,2021-08-23,20.93,21.3144,20.91,21.23
4467,2021-08-20,20.26,20.85,20.26,20.82
4466,2021-08-19,20.4,20.68,20.22,20.39
4465,2021-08-18,20.21,20.87,20.195,20.39
4464,2021-08-17,20.0,20.425,19.86,20.2
4463,2021-08-16,20.07,20.3,19.98,20.22
4462,2021-08-13,20.14,20.19,19.91,20.12
4461,2021-08-12,20.62,20.62,20.16,20.21
4460,2021-08-11,20.5,20.7,20.09,20.7
4459,2021-08-10,20.8,20.9,20.18,20.37
4458,2021-08-09,20.96,21.03,20.6,20.73
4457,2021-08-06,20.95,21.24,20.85,21.01
4456,2021-08-05,20.86,21.1,20.64,20.83
4455,2021-08-04,21.01,21.66,20.46,20.88
4454,2021-08-03,20.77,21.25,20.66,21.2
4453,2021-08-02,20.91,21.26,20.69,20.77
4452,2021-07-30,20.76,21.12,20.69,20.77
4451,2021-07-29,20.58,21.075,20.57,20.92
4450,2021-07-28,20.45,20.7,19.99,20.51
4449,2021-07-27,20.23,20.28,19.61,20.08
4448,2021-07-26,20.46,20.845,20.41,20.44
4447,2021-07-23,20.53,20.65,20.19,20.61
4446,2021-07-22,20.83,20.85,20.37,20.4
4445,2021-07-21,20.2,20.83,20.1,20.83
4444,2021-07-20,19.52,20.26,19.485,20.01
4443,2021-07-19,19.33,19.71,19.26,19.55
4442,2021-07-16,20.135,20.27,19.68,19.77
4441,2021-07-15,19.83,20.06,19.57,19.93
4440,2021-07-14,20.29,21.0,19.42,19.84
4439,2021-07-13,20.37,20.5,20.07,20.14
