,Date,Open,High,Low,Close
339,2021-12-31,48.43,51.14,48.365,50.33
338,2021-12-30,44.16,49.63,44.01,48.9
337,2021-12-29,45.25,45.4894,42.71,44.47
336,2021-12-28,45.87,46.4,44.76,45.39
335,2021-12-27,45.76,46.8248,45.2,46.07
334,2021-12-23,45.3,46.32,44.59,46.09
333,2021-12-22,42.81,45.85,42.621,45.74
332,2021-12-21,40.66,43.85,40.65,43.77
331,2021-12-20,40.3,40.79,38.42,39.44
330,2021-12-17,41.18,42.59,40.13,41.76
329,2021-12-16,43.93,44.19,41.8,42.27
328,2021-12-15,43.8,44.08,40.63,43.18
327,2021-12-14,43.81,44.89,43.19,44.47
326,2021-12-13,45.81,47.3,45.195,45.32
325,2021-12-10,45.8,47.18,45.34,46.83
324,2021-12-09,47.51,48.25,45.51,46.13
323,2021-12-08,48.0,48.36,46.14,47.88
322,2021-12-07,47.76,48.3652,46.06,47.4
321,2021-12-06,44.5,46.49,41.15,46.28
320,2021-12-03,47.0501,48.25,42.78,43.8
319,2021-12-02,52.5,53.92,44.81,48.29
318,2021-12-01,56.075,56.45,50.8,51.14
317,2021-11-30,51.2035,55.4,51.2,55.0
316,2021-11-29,53.01,54.0,50.61,51.36
315,2021-11-26,51.63,52.84,50.1609,51.11
314,2021-11-24,51.3,54.99,50.28,54.37
313,2021-11-23,49.0,54.0,47.5,51.3
312,2021-11-22,47.87,50.0,47.11,47.39
311,2021-11-19,47.46,48.32,46.35,46.89
310,2021-11-18,48.07,48.65,45.88,47.27
309,2021-11-17,50.0,50.0,47.84,48.3
308,2021-11-16,48.4,50.1,47.73,50.0
307,2021-11-15,48.53,49.04,46.88,47.5
306,2021-11-12,49.0,50.4,47.66,48.53
305,2021-11-11,45.7,47.95,45.01,47.58
304,2021-11-10,44.38,45.74,43.83,44.33
303,2021-11-09,46.93,47.0,44.13,44.3
302,2021-11-08,45.41,48.17,45.05,47.11
301,2021-11-05,48.07,48.08,45.76,46.39
300,2021-11-04,48.0,48.84,47.22,47.84
299,2021-11-03,46.5,46.85,45.75,46.64
298,2021-11-02,47.2,48.3,45.67,46.9
297,2021-11-01,48.7,49.55,46.8,47.87
296,2021-10-29,46.0,46.85,45.65,46.63
295,2021-10-28,47.23,47.84,45.22,46.24
294,2021-10-27,46.41,48.0699,45.77,45.9
293,2021-10-26,47.39,49.4882,44.58,45.34
292,2021-10-25,44.75,48.42,44.24,48.09
291,2021-10-22,43.64,44.5,42.89,43.14
290,2021-10-21,42.49,43.8937,42.28,43.5
289,2021-10-20,42.8,43.29,42.11,42.94
288,2021-10-19,43.75,44.58,42.92,43.15
287,2021-10-18,42.22,43.845,41.61,43.21
286,2021-10-15,40.42,43.0,40.23,42.79
285,2021-10-14,39.11,40.2,38.83,39.39
284,2021-10-13,38.15,40.0,37.88,39.89
283,2021-10-12,37.75,38.39,37.2,37.71
282,2021-10-11,38.0,38.43,37.35,37.42
281,2021-10-08,38.4,38.48,37.34,37.66
280,2021-10-07,36.9,38.88,36.84,38.26
279,2021-10-06,34.85,36.1177,34.72,35.75
278,2021-10-05,34.26,35.74,34.255,35.52
277,2021-10-04,35.18,35.2,33.52,34.11
276,2021-10-01,36.75,36.76,35.08,35.46
275,2021-09-30,35.03,36.11,34.8164,35.54
274,2021-09-29,34.58,35.81,34.31,34.55
273,2021-09-28,36.07,36.25,34.58,34.67
272,2021-09-27,35.18,36.3,34.39,36.12
271,2021-09-24,36.47,36.86,35.24,35.34
270,2021-09-23,37.0,37.12,35.915,36.81
269,2021-09-22,37.0,37.53,36.6,36.95
268,2021-09-21,37.0,37.31,36.48,36.74
267,2021-09-20,37.5,37.71,36.01,36.59
266,2021-09-17,37.99,39.12,37.7,39.01
265,2021-09-16,37.4,38.01,36.95,37.59
264,2021-09-15,38.44,38.65,36.73,38.1
263,2021-09-14,38.3,39.4,38.03,38.44
262,2021-09-13,38.89,38.95,37.25,38.33
261,2021-09-10,39.67,40.65,38.44,38.54
260,2021-09-09,39.14,39.7385,38.05,39.37
259,2021-09-08,40.7,40.95,38.74,39.26
258,2021-09-07,40.21,42.5,40.18,41.77
257,2021-09-03,40.58,40.62,39.36,39.75
256,2021-09-02,41.12,41.64,40.52,40.79
255,2021-09-01,41.1,42.0421,40.4823,40.78
254,2021-08-31,40.55,42.5,40.42,42.5
253,2021-08-30,40.45,40.85,39.02,40.75
252,2021-08-27,41.68,41.68,40.16,40.28
251,2021-08-26,40.0,42.45,39.85,40.62
250,2021-08-25,40.39,41.22,39.81,40.87
249,2021-08-24,40.19,40.78,39.61,40.55
248,2021-08-23,38.97,39.8,38.25,39.69
247,2021-08-20,38.02,39.95,37.9,38.69
246,2021-08-19,38.5,39.0891,37.5,37.57
245,2021-08-18,38.46,40.37,38.01,39.5
244,2021-08-17,36.06,39.14,35.8,37.87
243,2021-08-16,38.61,38.88,37.06,37.51
242,2021-08-13,40.0,40.28,39.33,40.15
241,2021-08-12,41.56,41.56,39.88,41.02
240,2021-08-11,42.5,42.75,41.21,42.25
239,2021-08-10,42.61,43.69,41.88,42.33
238,2021-08-09,41.39,42.7929,41.11,42.37
237,2021-08-06,42.91,43.07,40.37,41.22
236,2021-08-05,43.0,43.5322,42.12,42.75
235,2021-08-04,44.17,45.13,43.4635,43.78
234,2021-08-03,42.22,43.08,41.52,42.76
233,2021-08-02,42.5035,44.12,41.81,43.39
232,2021-07-30,38.68,42.24,38.22,40.53
231,2021-07-29,38.92,39.26,37.47,38.1
230,2021-07-28,36.84,38.34,35.95,37.34
229,2021-07-27,39.34,39.83,33.86,34.7
228,2021-07-26,39.61,43.02,39.41,40.75
227,2021-07-23,41.99,42.0789,39.72,41.0
226,2021-07-22,43.55,43.95,42.66,43.27
225,2021-07-21,41.62,44.42,41.365,43.87
224,2021-07-20,39.94,40.99,39.1,40.76
223,2021-07-19,38.18,39.9,37.21,39.72
222,2021-07-16,38.93,39.55,38.38,39.03
221,2021-07-15,37.49,39.3,36.92,38.51
220,2021-07-14,38.89,39.505,37.28,37.77
219,2021-07-13,39.7,40.31,38.51,39.19
218,2021-07-12,39.95,40.89,38.62,39.8
217,2021-07-09,40.36,40.69,38.87,39.92
216,2021-07-08,38.75,41.47,38.38,40.0
215,2021-07-07,43.36,44.25,40.42,41.47
214,2021-07-06,42.19,45.33,42.19,44.05
