,Date,Open,High,Low,Close
3857,2021-12-31,0.5,0.51,0.4717,0.4999
3856,2021-12-30,0.4899,0.51,0.4899,0.5099
3855,2021-12-29,0.497,0.52,0.48,0.5051
3854,2021-12-28,0.51,0.5258,0.497,0.5094
3853,2021-12-27,0.51,0.5258,0.5,0.5101
3852,2021-12-23,0.5003,0.525,0.5,0.525
3851,2021-12-22,0.5007,0.5298,0.5007,0.5203
3850,2021-12-21,0.526,0.526,0.5116,0.525
3849,2021-12-20,0.52,0.525,0.4901,0.525
3848,2021-12-17,0.5004,0.5116,0.4888,0.5116
3847,2021-12-16,0.511,0.5199,0.4999,0.51
3846,2021-12-15,0.5144,0.52,0.4658,0.515
3845,2021-12-14,0.4924,0.52,0.485,0.5058
3844,2021-12-13,0.516,0.526,0.4982,0.5027
3843,2021-12-10,0.5176,0.522,0.5,0.5161
3842,2021-12-09,0.534,0.534,0.51,0.52
3841,2021-12-08,0.467,0.5335,0.467,0.53
3840,2021-12-07,0.45,0.485,0.4469,0.4728
3839,2021-12-06,0.4465,0.45,0.4209,0.4482
3838,2021-12-03,0.451,0.4598,0.41,0.45
3837,2021-12-02,0.452,0.4599,0.451,0.4573
3836,2021-12-01,0.46,0.47,0.451,0.451
3835,2021-11-30,0.471,0.4849,0.46,0.4676
3834,2021-11-29,0.4849,0.4899,0.4775,0.48
3833,2021-11-26,0.4839,0.5,0.47,0.489
3832,2021-11-24,0.4896,0.4896,0.471,0.4839
3831,2021-11-23,0.471,0.4897,0.4608,0.485
3830,2021-11-22,0.4823,0.4922,0.471,0.4716
3829,2021-11-19,0.508,0.508,0.48,0.49
3828,2021-11-18,0.4978,0.4978,0.48,0.4906
3827,2021-11-17,0.491,0.5188,0.4904,0.4964
3826,2021-11-16,0.5,0.5125,0.5,0.51
3825,2021-11-15,0.522,0.5299,0.51,0.5112
3824,2021-11-12,0.526,0.5299,0.5212,0.5299
3823,2021-11-11,0.52,0.53,0.52,0.5258
3822,2021-11-10,0.53,0.5356,0.5154,0.5154
3821,2021-11-09,0.527,0.5371,0.522,0.53
3820,2021-11-08,0.5304,0.5501,0.5173,0.53
3819,2021-11-05,0.53,0.539,0.5252,0.5271
3818,2021-11-04,0.5364,0.539,0.525,0.539
3817,2021-11-03,0.5357,0.554,0.5357,0.5414
3816,2021-11-02,0.5506,0.56,0.5365,0.555
3815,2021-11-01,0.5654,0.5654,0.55,0.5506
3814,2021-10-29,0.5351,0.57,0.5351,0.5674
3813,2021-10-28,0.56,0.5699,0.5352,0.55
3812,2021-10-27,0.52,0.563,0.52,0.54
3811,2021-10-26,0.5109,0.5381,0.5109,0.5218
3810,2021-10-25,0.53,0.545,0.53,0.5354
3809,2021-10-22,0.54,0.5451,0.52,0.5351
3808,2021-10-21,0.5639,0.5769,0.5402,0.5451
3807,2021-10-20,0.5726,0.58,0.56,0.561
3806,2021-10-19,0.55,0.5749,0.55,0.56
3805,2021-10-18,0.5651,0.58,0.5631,0.572
3804,2021-10-15,0.545,0.5787,0.54,0.5629
3803,2021-10-14,0.541,0.5488,0.5313,0.5373
3802,2021-10-13,0.51,0.53,0.51,0.5252
3801,2021-10-12,0.5,0.52,0.5,0.5073
3800,2021-10-11,0.505,0.525,0.505,0.5102
3799,2021-10-08,0.5188,0.525,0.5066,0.5115
3798,2021-10-07,0.52,0.5373,0.5174,0.5206
3797,2021-10-06,0.5463,0.5463,0.51,0.5235
3796,2021-10-05,0.53,0.532,0.5141,0.5253
3795,2021-10-04,0.55,0.552,0.52,0.53
3794,2021-10-01,0.5481,0.5585,0.545,0.545
3793,2021-09-30,0.5504,0.56,0.545,0.555
3792,2021-09-29,0.5429,0.585,0.5429,0.56
3791,2021-09-28,0.55,0.58,0.5495,0.553
3790,2021-09-27,0.54,0.588,0.54,0.5605
3789,2021-09-24,0.55,0.55,0.54,0.5487
3788,2021-09-23,0.545,0.55,0.542,0.55
3787,2021-09-22,0.54,0.55,0.535,0.5401
3786,2021-09-21,0.54,0.5472,0.54,0.54
3785,2021-09-20,0.56,0.5868,0.54,0.5473
3784,2021-09-17,0.57,0.593,0.5511,0.593
3783,2021-09-16,0.5713,0.6,0.5713,0.58
3782,2021-09-15,0.6,0.62,0.568,0.5775
3781,2021-09-14,0.56,0.6399,0.5462,0.63
3780,2021-09-13,0.55,0.568,0.54,0.5599
3779,2021-09-10,0.545,0.561,0.545,0.556
3778,2021-09-09,0.531,0.548,0.53,0.5427
3777,2021-09-08,0.5461,0.55,0.525,0.54
3776,2021-09-07,0.565,0.568,0.543,0.5499
3775,2021-09-03,0.56,0.569,0.56,0.565
3774,2021-09-02,0.5412,0.57,0.5412,0.5558
3773,2021-09-01,0.5404,0.5645,0.5372,0.55
3772,2021-08-31,0.569,0.5772,0.5404,0.541
3771,2021-08-30,0.56,0.569,0.548,0.5625
3770,2021-08-27,0.53,0.57,0.53,0.548
3769,2021-08-26,0.526,0.5501,0.526,0.5399
3768,2021-08-25,0.52,0.55,0.52,0.5351
3767,2021-08-24,0.5271,0.5271,0.521,0.5215
3766,2021-08-23,0.51,0.53,0.5,0.5271
3765,2021-08-20,0.52,0.521,0.501,0.5079
3764,2021-08-19,0.535,0.54,0.52,0.5202
3763,2021-08-18,0.545,0.5496,0.535,0.5351
3762,2021-08-17,0.55,0.5599,0.5451,0.5505
3761,2021-08-16,0.59,0.59,0.5421,0.56
3760,2021-08-13,0.6,0.6001,0.5686,0.5854
3759,2021-08-12,0.59,0.606,0.5896,0.6001
3758,2021-08-11,0.5856,0.6149,0.5811,0.5999
3757,2021-08-10,0.58,0.61,0.58,0.5869
3756,2021-08-09,0.58,0.59,0.5799,0.5865
3755,2021-08-06,0.5814,0.596,0.5802,0.59
3754,2021-08-05,0.605,0.605,0.578,0.5849
3753,2021-08-04,0.561,0.6049,0.561,0.6029
3752,2021-08-03,0.59,0.59,0.5638,0.5702
3751,2021-08-02,0.5889,0.597,0.56,0.5824
3750,2021-07-30,0.5648,0.5946,0.5605,0.58
3749,2021-07-29,0.59,0.608,0.571,0.5736
3748,2021-07-28,0.5612,0.609,0.5612,0.5884
3747,2021-07-27,0.57,0.5868,0.5575,0.5719
3746,2021-07-26,0.5474,0.58,0.5474,0.577
3745,2021-07-23,0.58,0.5899,0.5417,0.5517
3744,2021-07-22,0.5783,0.61,0.5622,0.5886
3743,2021-07-21,0.536,0.6199,0.5297,0.58
3742,2021-07-20,0.53,0.557,0.5231,0.5231
3741,2021-07-19,0.53,0.544,0.52,0.537
3740,2021-07-16,0.5653,0.5779,0.53,0.53
3739,2021-07-15,0.582,0.5998,0.5516,0.564
3738,2021-07-14,0.61,0.6295,0.5802,0.5878
3737,2021-07-13,0.61,0.6385,0.6061,0.6138
3736,2021-07-12,0.6107,0.63,0.6021,0.6206
3735,2021-07-09,0.6,0.6199,0.5989,0.615
3734,2021-07-08,0.62,0.6207,0.5823,0.6071
3733,2021-07-07,0.65,0.65,0.6228,0.6341
3732,2021-07-06,0.66,0.6799,0.6516,0.6521
3731,2021-07-02,0.645,0.6699,0.643,0.6614
3730,2021-07-01,0.68,0.68,0.65,0.65
3729,2021-06-30,0.6476,0.6868,0.64,0.67
3728,2021-06-29,0.6606,0.67,0.6368,0.6476
3727,2021-06-28,0.67,0.6896,0.6645,0.666
3726,2021-06-25,0.675,0.6886,0.66,0.6637
3725,2021-06-24,0.658,0.689,0.6476,0.6856
3724,2021-06-23,0.63,0.659,0.63,0.6586
3723,2021-06-22,0.6434,0.648,0.6301,0.6338
3722,2021-06-21,0.651,0.659,0.6402,0.6481
3721,2021-06-18,0.6324,0.68,0.6324,0.66
3720,2021-06-17,0.67,0.6757,0.63,0.645
3719,2021-06-16,0.655,0.669,0.651,0.6614
3718,2021-06-15,0.674,0.6911,0.66,0.66
3717,2021-06-14,0.7,0.7152,0.6554,0.6723
3716,2021-06-11,0.69,0.71,0.69,0.7042
3715,2021-06-10,0.71,0.7199,0.69,0.6938
3714,2021-06-09,0.7242,0.7655,0.7112,0.7185
3713,2021-06-08,0.7012,0.735,0.7012,0.72
3712,2021-06-07,0.7202,0.729,0.7006,0.7054
3711,2021-06-04,0.7,0.7533,0.7,0.7218
3710,2021-06-03,0.72,0.73,0.694,0.71
3709,2021-06-02,0.6799,0.7297,0.6702,0.721
3708,2021-06-01,0.6715,0.6979,0.6701,0.68
3707,2021-05-28,0.68,0.6863,0.6601,0.6725
3706,2021-05-27,0.654,0.6832,0.654,0.683
3705,2021-05-26,0.6578,0.6779,0.65,0.6647
3704,2021-05-25,0.68,0.6889,0.6502,0.6575
3703,2021-05-24,0.6999,0.6999,0.66,0.6694
3702,2021-05-21,0.715,0.715,0.6701,0.6811
3701,2021-05-20,0.66,0.7191,0.65,0.715
3700,2021-05-19,0.6926,0.7149,0.6301,0.6497
3699,2021-05-18,0.68,0.719,0.68,0.6851
3698,2021-05-17,0.633,0.68,0.633,0.679
3697,2021-05-14,0.63,0.65,0.63,0.633
3696,2021-05-13,0.6327,0.6473,0.62,0.62
3695,2021-05-12,0.66,0.67,0.63,0.6311
3694,2021-05-11,0.65,0.6699,0.637,0.66
3693,2021-05-10,0.682,0.7,0.655,0.6749
3692,2021-05-07,0.64,0.6824,0.64,0.682
3691,2021-05-06,0.67,0.6768,0.63,0.6379
3690,2021-05-05,0.69,0.69,0.66,0.67
3689,2021-05-04,0.69,0.7,0.6503,0.6687
3688,2021-05-03,0.7102,0.7199,0.6907,0.6912
3687,2021-04-30,0.72,0.741,0.694,0.7073
3686,2021-04-29,0.75,0.75,0.7,0.7226
3685,2021-04-28,0.7435,0.7498,0.725,0.7379
3684,2021-04-27,0.77,0.77,0.731,0.7345
3683,2021-04-26,0.7347,0.7849,0.73,0.7694
3682,2021-04-23,0.68,0.7489,0.68,0.7248
3681,2021-04-22,0.69,0.72,0.6508,0.67
3680,2021-04-21,0.6251,0.707,0.62,0.6893
3679,2021-04-20,0.66,0.67,0.62,0.62
3678,2021-04-19,0.6672,0.69,0.632,0.6691
3677,2021-04-16,0.661,0.6998,0.616,0.6669
3676,2021-04-15,0.73,0.744,0.7105,0.7321
3675,2021-04-14,0.71,0.7566,0.7,0.7235
3674,2021-04-13,0.76,0.775,0.701,0.72
3673,2021-04-12,0.811,0.82,0.7512,0.7526
3672,2021-04-09,0.8412,0.8499,0.8121,0.8246
3671,2021-04-08,0.85,0.8612,0.83,0.84
3670,2021-04-07,0.85,0.9049,0.8204,0.8303
3669,2021-04-06,0.81,0.8698,0.81,0.843
3668,2021-04-05,0.85,0.869,0.8211,0.825
3667,2021-04-01,0.84,0.8793,0.838,0.8499
3666,2021-03-31,0.776,0.845,0.774,0.8314
3665,2021-03-30,0.7995,0.8295,0.77,0.773
3664,2021-03-29,0.82,0.8299,0.8011,0.8128
3663,2021-03-26,0.83,0.8598,0.7911,0.8155
3662,2021-03-25,0.794,0.864,0.7801,0.8281
3661,2021-03-24,0.84,0.9032,0.81,0.8198
3660,2021-03-23,0.894,0.8998,0.812,0.8301
3659,2021-03-22,0.922,0.9295,0.88,0.8849
3658,2021-03-19,0.912,0.92,0.8722,0.92
3657,2021-03-18,0.9476,0.9889,0.9105,0.9208
3656,2021-03-17,0.92,0.97,0.9,0.9522
3655,2021-03-16,1.01,1.03,0.9112,0.9311
3654,2021-03-15,1.01,1.0402,1.0,1.02
3653,2021-03-12,0.97,0.99,0.965,0.99
3652,2021-03-11,0.98,1.0,0.95,0.989
3651,2021-03-10,1.0,1.03,0.94,0.9688
3650,2021-03-09,0.9428,1.01,0.91,0.981
3649,2021-03-08,0.97,0.974,0.8604,0.926
3648,2021-03-05,0.85,0.915,0.7576,0.9
3647,2021-03-04,0.925,0.94,0.75,0.8368
3646,2021-03-03,0.97,1.07,0.96,0.97
3645,2021-03-02,1.04,1.05,1.0,1.01
3644,2021-03-01,1.02,1.09,1.0,1.02
3643,2021-02-26,0.98,1.07,0.9221,0.9351
3642,2021-02-25,1.1,1.12,0.96,0.9811
3641,2021-02-24,0.91,1.15,0.8932,1.14
3640,2021-02-23,0.9,0.935,0.73,0.9195
3639,2021-02-22,1.11,1.12,0.9899,1.02
3638,2021-02-19,1.07,1.2,1.02,1.07
3637,2021-02-18,1.09,1.18,1.02,1.07
3636,2021-02-17,1.03,1.25,1.02,1.22
3635,2021-02-16,1.05,1.06,0.9796,1.02
3634,2021-02-12,0.9166,0.99,0.8254,0.9415
3633,2021-02-11,1.06,1.06,0.9041,0.91
3632,2021-02-10,1.0,1.04,0.8701,1.0
3631,2021-02-09,0.83,0.99,0.825,0.9226
3630,2021-02-08,0.7565,0.8095,0.7494,0.8095
3629,2021-02-05,0.74,0.75,0.72,0.7415
3628,2021-02-04,0.74,0.75,0.7169,0.723
3627,2021-02-03,0.7464,0.7594,0.735,0.7444
3626,2021-02-02,0.7501,0.77,0.7401,0.7502
3625,2021-02-01,0.74,0.8497,0.73,0.8049
3624,2021-01-29,0.72,0.7758,0.69,0.705
3623,2021-01-28,0.74,0.8016,0.7103,0.7279
3622,2021-01-27,0.73,0.83,0.6831,0.7311
3621,2021-01-26,0.83,0.8998,0.81,0.83
3620,2021-01-25,0.815,0.9,0.785,0.8173
3619,2021-01-22,0.7,0.8199,0.6811,0.7963
3618,2021-01-21,0.701,0.72,0.6712,0.71
3617,2021-01-20,0.76,0.76,0.6899,0.699
3616,2021-01-19,0.652,0.77,0.63,0.7287
3615,2021-01-15,0.68,0.6834,0.62,0.655
3614,2021-01-14,0.68,0.72,0.653,0.6758
3613,2021-01-13,0.7,0.7,0.6725,0.676
3612,2021-01-12,0.7135,0.73,0.67,0.6836
3611,2021-01-11,0.615,0.7136,0.5784,0.7136
3610,2021-01-08,0.611,0.6241,0.5708,0.598
3609,2021-01-07,0.5961,0.6346,0.5892,0.6241
3608,2021-01-06,0.588,0.6,0.56,0.58
3607,2021-01-05,0.54,0.64,0.54,0.579
3606,2021-01-04,0.58,0.58,0.53,0.5451
3605,2020-12-31,0.59,0.5985,0.55,0.5623
3604,2020-12-30,0.5674,0.5865,0.566,0.5784
3603,2020-12-29,0.571,0.5851,0.557,0.557
3602,2020-12-28,0.6,0.6,0.565,0.57
3601,2020-12-24,0.6,0.6085,0.5632,0.5884
3600,2020-12-23,0.5799,0.6,0.547,0.59
3599,2020-12-22,0.57,0.59,0.5468,0.5667
3598,2020-12-21,0.55,0.58,0.5366,0.5755
3597,2020-12-18,0.54,0.58,0.515,0.54
3596,2020-12-17,0.5199,0.536,0.515,0.5169
3595,2020-12-16,0.54,0.5471,0.51,0.51
3594,2020-12-15,0.5,0.55,0.4983,0.5371
3593,2020-12-14,0.5,0.51,0.48,0.4998
3592,2020-12-11,0.4767,0.53,0.47,0.495
3591,2020-12-10,0.4712,0.494,0.465,0.4805
3590,2020-12-09,0.4815,0.5,0.465,0.4699
3589,2020-12-08,0.5,0.5085,0.49,0.49
3588,2020-12-07,0.465,0.54,0.45,0.4857
3587,2020-12-04,0.46,0.469,0.4501,0.469
3586,2020-12-03,0.49,0.4954,0.454,0.46
3585,2020-12-02,0.505,0.5099,0.4874,0.4995
3584,2020-12-01,0.49,0.509,0.4865,0.5041
3583,2020-11-30,0.48,0.51,0.4751,0.49
3582,2020-11-27,0.49,0.5,0.4645,0.4831
3581,2020-11-25,0.47,0.49,0.47,0.49
3580,2020-11-24,0.54,0.5443,0.48,0.4998
3579,2020-11-23,0.4619,0.535,0.4436,0.53
3578,2020-11-20,0.4236,0.4559,0.4236,0.4559
3577,2020-11-19,0.4301,0.4301,0.405,0.4238
3576,2020-11-18,0.43,0.4322,0.408,0.4097
3575,2020-11-17,0.4323,0.433,0.4166,0.431
3574,2020-11-16,0.4,0.4485,0.4,0.4228
3573,2020-11-13,0.3996,0.4107,0.3944,0.3951
3572,2020-11-12,0.406,0.42,0.39,0.3902
3571,2020-11-11,0.44,0.44,0.4,0.4
3570,2020-11-10,0.4011,0.433,0.4011,0.4103
3569,2020-11-09,0.43,0.43,0.4061,0.4114
3568,2020-11-06,0.39,0.4148,0.39,0.4062
3567,2020-11-05,0.3955,0.42,0.3955,0.4117
3566,2020-11-04,0.39,0.402,0.381,0.3923
3565,2020-11-03,0.396,0.405,0.3801,0.398
3564,2020-11-02,0.4165,0.42,0.3807,0.3992
3563,2020-10-30,0.45,0.45,0.416,0.416
3562,2020-10-29,0.425,0.45,0.4202,0.447
3561,2020-10-28,0.4485,0.459,0.425,0.4395
3560,2020-10-27,0.46,0.46,0.44,0.4499
3559,2020-10-26,0.45,0.4642,0.428,0.44
3558,2020-10-23,0.44,0.493,0.4322,0.4447
3557,2020-10-22,0.4611,0.4611,0.432,0.444
3556,2020-10-21,0.43,0.4677,0.43,0.4515
3555,2020-10-20,0.4326,0.44,0.425,0.4264
3554,2020-10-19,0.44,0.45,0.425,0.4287
3553,2020-10-16,0.43,0.4421,0.43,0.4348
3552,2020-10-15,0.46,0.4601,0.4281,0.4304
3551,2020-10-14,0.4585,0.49,0.4466,0.459
3550,2020-10-13,0.463,0.466,0.4451,0.461
3549,2020-10-12,0.45,0.46,0.425,0.454
3548,2020-10-09,0.494,0.5,0.416,0.438
3547,2020-10-08,0.55,0.63,0.46,0.4719
3546,2020-10-07,0.42,0.8799,0.42,0.6172
3545,2020-10-06,0.46,0.46,0.42,0.4375
3544,2020-10-05,0.4209,0.462,0.395,0.4489
3543,2020-10-02,0.38,0.4088,0.3664,0.403
3542,2020-10-01,0.4084,0.416,0.3822,0.3862
3541,2020-09-30,0.4,0.4258,0.4,0.4
3540,2020-09-29,0.4,0.4001,0.3901,0.3918
3539,2020-09-28,0.405,0.4074,0.381,0.4
3538,2020-09-25,0.397,0.4179,0.394,0.3963
3537,2020-09-24,0.415,0.415,0.3966,0.398
3536,2020-09-23,0.4621,0.4621,0.4134,0.421
3535,2020-09-22,0.46,0.4725,0.4501,0.4621
3534,2020-09-21,0.4649,0.481,0.454,0.473
3533,2020-09-18,0.4466,0.48,0.4441,0.4761
3532,2020-09-17,0.4345,0.47,0.427,0.468
3531,2020-09-16,0.45,0.4684,0.43,0.4345
3530,2020-09-15,0.43,0.4475,0.4259,0.4474
3529,2020-09-14,0.42,0.4259,0.4134,0.4259
3528,2020-09-11,0.45,0.45,0.42,0.42
3527,2020-09-10,0.41,0.4286,0.4038,0.4223
3526,2020-09-09,0.3974,0.4183,0.384,0.4183
3525,2020-09-08,0.4,0.4,0.3733,0.389
3524,2020-09-04,0.3764,0.4,0.3502,0.3978
3523,2020-09-03,0.38,0.38,0.37,0.3764
3522,2020-09-02,0.35,0.3921,0.3432,0.3921
3521,2020-09-01,0.3497,0.3549,0.337,0.337
3520,2020-08-31,0.319,0.36,0.3165,0.3494
3519,2020-08-28,0.315,0.34,0.3125,0.3369
3518,2020-08-27,0.3432,0.3453,0.3101,0.3114
3517,2020-08-26,0.3105,0.3388,0.3105,0.3338
3516,2020-08-25,0.3614,0.3614,0.3081,0.3242
3515,2020-08-24,0.386,0.3874,0.351,0.3579
3514,2020-08-21,0.385,0.3945,0.372,0.3793
3513,2020-08-20,0.38,0.3874,0.3702,0.385
3512,2020-08-19,0.4172,0.4175,0.375,0.38
3511,2020-08-18,0.4,0.4176,0.3976,0.4139
3510,2020-08-17,0.35,0.4346,0.35,0.43
3509,2020-08-14,0.374,0.3769,0.341,0.3485
3508,2020-08-13,0.3785,0.3805,0.3749,0.3769
3507,2020-08-12,0.3861,0.3898,0.3775,0.3786
3506,2020-08-11,0.3953,0.3953,0.3821,0.3861
3505,2020-08-10,0.4,0.4017,0.39,0.3945
3504,2020-08-07,0.4,0.4124,0.395,0.4008
3503,2020-08-06,0.43,0.43,0.4118,0.4153
3502,2020-08-05,0.41,0.43,0.4099,0.4239
3501,2020-08-04,0.382,0.408,0.38,0.404
3500,2020-08-03,0.3921,0.3975,0.38,0.3834
3499,2020-07-31,0.405,0.405,0.3825,0.3825
3498,2020-07-30,0.395,0.4025,0.39,0.3936
3497,2020-07-29,0.41,0.417,0.3935,0.4056
3496,2020-07-28,0.4063,0.4088,0.3635,0.4064
3495,2020-07-27,0.43,0.4385,0.4001,0.4063
3494,2020-07-24,0.4002,0.4569,0.4002,0.4222
3493,2020-07-23,0.38,0.49,0.3726,0.481
3492,2020-07-22,0.395,0.41,0.3722,0.3853
3491,2020-07-21,0.42,0.43,0.38,0.41
3490,2020-07-20,0.4,0.44,0.37,0.42
3489,2020-07-17,0.36,0.41,0.36,0.39
3488,2020-07-16,0.38,0.38,0.35,0.37
3487,2020-07-15,0.38,0.38,0.36,0.37
