,Date,Open,High,Low,Close
518,2021-12-31,28.35,28.86,28.31,28.74
517,2021-12-30,27.86,28.86,27.76,28.58
516,2021-12-29,28.44,28.45,27.7,27.88
515,2021-12-28,30.15,30.2,28.5,28.6
514,2021-12-27,29.8,30.99,29.8,30.38
513,2021-12-23,29.45,30.08,29.08,29.84
512,2021-12-22,28.99,29.55,28.77,29.52
511,2021-12-21,29.09,29.64,28.95,29.49
510,2021-12-20,28.07,29.02,27.76,28.91
509,2021-12-17,28.6,29.61,28.35,29.29
508,2021-12-16,30.5,30.59,28.79,29.09
507,2021-12-15,29.09,30.28,28.29,30.21
506,2021-12-14,29.34,29.56,28.46,29.17
505,2021-12-13,30.33,32.23,30.25,31.16
504,2021-12-10,30.19,30.57,29.67,30.11
503,2021-12-09,29.89,30.42,29.28,29.92
502,2021-12-08,30.05,30.79,29.92,30.13
501,2021-12-07,30.35,30.85,29.9,30.0
500,2021-12-06,28.6,29.9,27.71,29.63
499,2021-12-03,30.01,30.02,28.65,29.0
498,2021-12-02,29.17,30.43,28.82,29.13
497,2021-12-01,29.09,30.7,28.6,29.14
496,2021-11-30,29.51,29.84,28.22,28.68
495,2021-11-29,30.33,30.45,29.56,29.84
494,2021-11-26,29.48,29.72,29.225,29.56
493,2021-11-24,29.73,30.6,29.41,30.37
492,2021-11-23,27.65,30.11,27.65,30.07
491,2021-11-22,30.105,30.59,28.47,28.7
490,2021-11-19,29.57,30.31,29.12,29.75
489,2021-11-18,30.4,30.47,28.94,29.15
488,2021-11-17,31.74,32.24,30.2,30.37
487,2021-11-16,33.1,33.13,31.99,32.35
486,2021-11-15,34.0,34.43,33.78,33.83
485,2021-11-12,33.81,33.94,33.06,33.77
484,2021-11-11,33.57,34.86,33.48,33.98
483,2021-11-10,33.99,34.48,32.68,32.95
482,2021-11-09,34.27,35.29,33.62,33.92
481,2021-11-08,35.0,35.465,33.99,34.08
480,2021-11-05,32.71,35.34,32.55,34.98
479,2021-11-04,33.2692,34.5,32.33,32.34
478,2021-11-03,32.87,33.66,32.28,33.34
477,2021-11-02,33.94,34.0,32.43,32.84
476,2021-11-01,32.83,34.34,32.83,34.09
475,2021-10-29,33.54,33.74,32.52,32.81
474,2021-10-28,33.14,33.88,32.22,33.77
473,2021-10-27,33.79,34.58,33.59,33.68
472,2021-10-26,34.08,34.46,33.47,33.79
471,2021-10-25,34.3,35.59,34.25,34.99
470,2021-10-22,33.74,34.26,31.66,33.64
469,2021-10-21,34.96,35.6,33.6,34.03
468,2021-10-20,35.69,36.68,35.04,35.93
467,2021-10-19,36.7,36.785,35.51,35.66
466,2021-10-18,36.38,37.52,36.38,36.87
465,2021-10-15,35.2,37.44,34.78,36.71
464,2021-10-14,35.4,35.82,34.0,34.1
463,2021-10-13,35.51,36.56,34.88,35.0
462,2021-10-12,37.64,37.71,34.985,35.26
461,2021-10-11,38.91,39.0,37.03,37.03
460,2021-10-08,41.51,42.31,40.03,40.16
459,2021-10-07,39.75,41.83,39.65,41.73
458,2021-10-06,38.69,39.64,37.44,39.58
457,2021-10-05,40.74,41.9,39.13,40.2
456,2021-10-04,40.82,42.76,40.1,40.45
455,2021-10-01,40.41,42.8,39.39,42.05
454,2021-09-30,41.44,41.44,40.02,40.17
453,2021-09-29,41.81,42.32,40.37,41.08
452,2021-09-28,43.29,43.5074,41.27,41.64
451,2021-09-27,43.81,43.95,43.01,43.48
450,2021-09-24,45.16,45.42,43.83,44.25
449,2021-09-23,46.7,46.76,45.28,45.48
448,2021-09-22,46.08,46.98,45.525,46.36
447,2021-09-21,44.0,45.73,43.565,45.51
446,2021-09-20,44.04,44.89,42.56,43.54
445,2021-09-17,46.05,46.74,44.82,45.08
444,2021-09-16,46.34,46.55,45.86,46.16
443,2021-09-15,46.96,47.07,46.44,46.5
442,2021-09-14,47.33,47.86,46.52,46.85
441,2021-09-13,47.98,48.53,47.045,47.39
440,2021-09-10,49.28,49.4391,47.6,47.64
439,2021-09-09,47.86,49.68,47.5,48.83
438,2021-09-08,50.5,50.69,47.9,47.93
437,2021-09-07,49.27,51.87,48.701,50.75
436,2021-09-03,51.07,51.3999,49.41,50.0
435,2021-09-02,50.11,53.08,49.53,51.17
434,2021-09-01,48.63,51.08,48.41,50.01
433,2021-08-31,48.98,49.16,47.95,48.65
432,2021-08-30,48.85,49.25,47.79,48.89
431,2021-08-27,47.55,49.115,47.12,48.66
430,2021-08-26,48.03,48.63,47.27,47.46
429,2021-08-25,47.3,48.17,46.95,48.06
428,2021-08-24,45.65,47.275,45.65,47.2
427,2021-08-23,45.11,45.94,44.76,45.43
426,2021-08-20,45.2,45.5,43.83,45.11
425,2021-08-19,43.85,45.3,43.36,45.19
424,2021-08-18,45.05,45.36,44.44,44.58
423,2021-08-17,45.62,45.955,44.21,45.02
422,2021-08-16,47.03,47.31,46.03,46.18
421,2021-08-13,48.09,48.13,47.38,47.41
420,2021-08-12,48.21,48.42,47.4,47.99
419,2021-08-11,49.22,49.22,48.01,48.26
418,2021-08-10,49.64,49.94,48.35,49.0
417,2021-08-09,48.25,50.25,47.82,49.51
416,2021-08-06,46.78,48.08,46.37,48.02
415,2021-08-05,46.02,48.15,45.71,46.79
414,2021-08-04,44.4286,47.47,43.95,45.58
413,2021-08-03,41.59,42.55,41.25,42.3
412,2021-08-02,41.56,42.54,40.97,41.69
411,2021-07-30,41.33,41.72,40.76,41.06
410,2021-07-29,41.25,41.97,41.01,41.94
409,2021-07-28,40.83,41.7,40.17,41.22
408,2021-07-27,42.15,42.15,39.53,40.56
407,2021-07-26,40.7,42.26,40.65,42.11
406,2021-07-23,40.71,41.89,40.5,40.96
405,2021-07-22,41.09,41.645,40.06,40.48
404,2021-07-21,40.41,41.17,39.92,41.06
