,Date,Open,High,Low,Close
801,2021-12-31,81.99,83.58,80.61,82.83
800,2021-12-30,81.83,83.45,81.83,82.38
799,2021-12-29,81.79,82.405,80.75,81.7
798,2021-12-28,82.32,83.8783,81.11,81.32
797,2021-12-27,83.91,84.68,83.3,83.97
796,2021-12-23,82.44,83.6,81.23,83.44
795,2021-12-22,83.06,83.71,81.55,82.4
794,2021-12-21,80.69,83.39,80.31,82.66
793,2021-12-20,80.48,80.99,77.51,79.7
792,2021-12-17,80.19,83.18,78.66,81.75
791,2021-12-16,88.19,89.75,80.5,81.05
790,2021-12-15,88.57,88.64,85.2001,88.19
789,2021-12-14,86.68,88.519,85.4,88.01
788,2021-12-13,89.56,89.74,85.5109,87.35
787,2021-12-10,91.04,91.61,88.26,89.97
786,2021-12-09,93.0,94.4,90.48,90.63
785,2021-12-08,90.44,93.97,89.64,93.04
784,2021-12-07,87.15,90.87,87.14,90.54
783,2021-12-06,85.43,86.56,83.56,85.55
782,2021-12-03,90.16,90.31,84.66,85.59
781,2021-12-02,87.74,89.41,85.045,88.93
780,2021-12-01,93.34,94.88,87.08,87.18
779,2021-11-30,94.98,95.2399,89.27,92.16
778,2021-11-29,98.365,98.5774,95.1,95.39
777,2021-11-26,94.61,98.06,94.27,96.87
776,2021-11-24,94.5,97.015,93.25,96.73
775,2021-11-23,99.22,99.7,94.5,96.04
774,2021-11-22,103.5,103.96,97.85,99.83
773,2021-11-19,104.66,107.1,102.88,103.22
772,2021-11-18,103.27,104.15,102.2828,103.82
771,2021-11-17,104.86,105.8799,101.47,102.7
770,2021-11-16,101.86,105.24,101.145,104.36
769,2021-11-15,98.98,102.15,98.705,102.09
768,2021-11-12,97.12,98.61,95.59,98.06
767,2021-11-11,99.59,99.59,94.9517,96.61
766,2021-11-10,104.36,106.175,102.01,103.2
765,2021-11-09,104.95,107.2,104.815,106.13
764,2021-11-08,107.87,108.36,104.81,104.93
763,2021-11-05,107.0,108.82,105.51,107.73
762,2021-11-04,104.47,106.97,104.4,106.74
761,2021-11-03,102.2,105.09,102.055,104.37
760,2021-11-02,100.51,101.7,99.15,101.65
759,2021-11-01,98.78,100.52,97.6,100.39
758,2021-10-29,95.04,98.62,94.73,98.33
