,Date,Open,High,Low,Close
1188,2021-12-31,10.07,10.27,9.9,9.92
1187,2021-12-30,10.1,10.3801,10.1,10.15
1186,2021-12-29,10.31,10.355,10.01,10.12
1185,2021-12-28,10.53,10.615,10.29,10.31
1184,2021-12-27,10.63,10.67,10.48,10.58
1183,2021-12-23,10.54,10.625,10.39,10.59
1182,2021-12-22,10.44,10.625,10.43,10.57
1181,2021-12-21,10.41,10.64,10.34,10.54
1180,2021-12-20,10.54,10.605,10.26,10.29
1179,2021-12-17,10.31,10.81,10.19,10.79
1178,2021-12-16,10.54,10.59,10.2,10.38
1177,2021-12-15,10.18,10.545,9.98,10.48
1176,2021-12-14,10.28,10.48,10.025,10.28
1175,2021-12-13,10.19,10.58,10.19,10.41
1174,2021-12-10,10.735,10.76,10.27,10.31
1173,2021-12-09,10.8,10.9092,10.51,10.61
1172,2021-12-08,10.63,10.965,10.43,10.89
1171,2021-12-07,10.535,10.82,10.43,10.63
1170,2021-12-06,10.25,10.47,9.87,10.37
1169,2021-12-03,9.96,10.76,9.95,10.24
1168,2021-12-02,9.175,9.51,8.98,9.43
1167,2021-12-01,9.94,9.98,8.89,9.15
1166,2021-11-30,9.84,10.09,9.395,9.66
1165,2021-11-29,9.97,10.09,9.67,9.93
1164,2021-11-26,9.88,10.07,9.66,9.78
1163,2021-11-24,10.15,10.25,9.92,10.1
1162,2021-11-23,10.39,10.52,9.97,10.29
1161,2021-11-22,10.85,10.91,10.2501,10.46
1160,2021-11-19,11.16,11.4,10.76,10.84
1159,2021-11-18,11.59,11.61,11.0401,11.21
1158,2021-11-17,11.69,11.88,11.325,11.5
1157,2021-11-16,11.75,11.815,11.5899,11.75
1156,2021-11-15,11.83,11.91,11.68,11.75
1155,2021-11-12,11.61,11.925,11.56,11.82
1154,2021-11-11,11.89,11.95,11.55,11.6
1153,2021-11-10,12.09,12.45,11.775,11.8
1152,2021-11-09,12.52,12.61,12.18,12.25
1151,2021-11-08,12.65,12.76,12.51,12.52
1150,2021-11-05,12.67,12.8684,12.44,12.64
1149,2021-11-04,12.77,12.9,12.43,12.57
1148,2021-11-03,12.69,12.91,12.51,12.66
