,Date,Open,High,Low,Close
301,2021-12-31,2.09,2.14,1.96,2.05
300,2021-12-30,1.96,2.24,1.9,2.19
299,2021-12-29,2.12,2.18,1.78,2.12
298,2021-12-28,1.85,1.92,1.7344,1.76
297,2021-12-27,1.87,1.955,1.86,1.88
296,2021-12-23,1.95,1.95,1.79,1.91
295,2021-12-22,1.86,1.98,1.83,1.94
294,2021-12-21,1.7278,1.9254,1.7278,1.83
293,2021-12-20,1.85,1.85,1.72,1.77
292,2021-12-17,1.81,1.98,1.64,1.86
291,2021-12-16,1.89,1.92,1.79,1.82
290,2021-12-15,2.07,2.07,1.8,1.86
289,2021-12-14,2.08,2.18,1.852,2.09
288,2021-12-13,2.19,2.21,2.0573,2.13
287,2021-12-10,2.18,2.26,1.93,2.19
286,2021-12-09,2.05,2.2,1.8801,2.13
285,2021-12-08,2.07,2.18,1.75,2.1
284,2021-12-07,1.67,2.04,1.59,2.0
283,2021-12-06,1.64,1.8159,1.52,1.69
282,2021-12-03,1.81,1.85,1.62,1.65
281,2021-12-02,2.0,2.08,1.69,1.83
280,2021-12-01,2.18,2.19,1.99,2.01
279,2021-11-30,2.21,2.25,2.16,2.2
278,2021-11-29,2.2512,2.28,2.2,2.25
277,2021-11-26,2.23,2.31,2.23,2.28
276,2021-11-24,2.25,2.37,2.25,2.31
275,2021-11-23,2.28,2.39,2.1548,2.29
274,2021-11-22,2.52,2.52,2.26,2.3
273,2021-11-19,2.61,2.63,2.45,2.51
272,2021-11-18,2.71,2.76,2.62,2.63
271,2021-11-17,2.83,2.95,2.7,2.7
270,2021-11-16,2.9,2.9044,2.72,2.8
269,2021-11-15,2.99,3.0899,2.81,2.89
268,2021-11-12,3.02,3.39,2.94,2.97
267,2021-11-11,2.9,3.09,2.817,2.98
266,2021-11-10,2.9,2.9262,2.81,2.86
265,2021-11-09,2.86,2.99,2.8,2.9
264,2021-11-08,2.8,2.9,2.7367,2.86
263,2021-11-05,2.82,2.82,2.7,2.8
262,2021-11-04,2.75,2.8304,2.75,2.82
261,2021-11-03,2.77,2.8,2.68,2.76
260,2021-11-02,2.75,2.865,2.75,2.77
259,2021-11-01,2.65,2.79,2.63,2.77
258,2021-10-29,2.72,2.74,2.62,2.63
257,2021-10-28,2.71,2.75,2.68,2.74
256,2021-10-27,2.67,2.7523,2.63,2.68
255,2021-10-26,2.63,2.73,2.63,2.66
254,2021-10-25,2.63,2.77,2.62,2.71
253,2021-10-22,2.81,2.82,2.6,2.61
252,2021-10-21,2.81,2.98,2.73,2.83
251,2021-10-20,2.69,2.8699,2.69,2.83
250,2021-10-19,2.67,2.77,2.65,2.72
249,2021-10-18,2.67,2.79,2.66,2.69
248,2021-10-15,2.7,2.81,2.66,2.66
247,2021-10-14,2.75,2.81,2.65,2.66
246,2021-10-13,2.93,2.98,2.7507,2.77
245,2021-10-12,3.01,3.13,2.88,2.89
244,2021-10-11,3.05,3.19,2.98,2.98
243,2021-10-08,2.985,3.07,2.8908,3.06
242,2021-10-07,2.88,3.04,2.88,2.96
241,2021-10-06,2.88,2.95,2.81,2.89
240,2021-10-05,2.92,2.97,2.86,2.95
239,2021-10-04,3.01,3.09,2.86,2.89
238,2021-10-01,3.02,3.15,3.0,3.0
237,2021-09-30,3.0349,3.07,3.0,3.005
236,2021-09-29,3.06,3.14,3.0,3.0
235,2021-09-28,3.09,3.1,3.0,3.04
234,2021-09-27,3.12,3.24,3.06,3.09
233,2021-09-24,3.0788,3.14,3.06,3.13
232,2021-09-23,3.1,3.1601,3.06,3.14
231,2021-09-22,3.05,3.16,3.05,3.08
230,2021-09-21,3.0,3.14,3.0,3.07
229,2021-09-20,3.06,3.06,2.99,3.01
228,2021-09-17,3.07,3.1722,3.04,3.11
227,2021-09-16,3.11,3.26,3.04,3.09
226,2021-09-15,3.15,3.25,3.04,3.12
225,2021-09-14,3.3,3.3,3.12,3.18
224,2021-09-13,3.25,3.31,3.22,3.27
223,2021-09-10,3.33,3.42,3.21,3.26
222,2021-09-09,3.4,3.49,3.3,3.33
221,2021-09-08,3.51,3.51,3.28,3.4
220,2021-09-07,3.58,3.6,3.42,3.47
219,2021-09-03,3.59,3.72,3.54,3.55
