,Date,Open,High,Low,Close
672,2021-12-31,0.6793,0.685,0.6,0.6251
671,2021-12-30,0.6615,0.7,0.62,0.68
670,2021-12-29,0.501,0.68,0.501,0.652
669,2021-12-28,0.5121,0.53,0.5,0.5135
668,2021-12-27,0.51,0.529,0.5031,0.528
667,2021-12-23,0.552,0.5588,0.52,0.531
666,2021-12-22,0.5626,0.5714,0.5522,0.56
665,2021-12-21,0.59,0.5986,0.5502,0.58
664,2021-12-20,0.58,0.58,0.551,0.572
663,2021-12-17,0.6101,0.62,0.58,0.6
662,2021-12-16,0.645,0.645,0.5811,0.5811
661,2021-12-15,0.6359,0.648,0.6,0.6282
660,2021-12-14,0.666,0.666,0.61,0.65
659,2021-12-13,0.64,0.64,0.61,0.6194
658,2021-12-10,0.67,0.6726,0.62,0.6504
657,2021-12-09,0.679,0.68,0.65,0.6566
656,2021-12-08,0.66,0.6972,0.66,0.6801
655,2021-12-07,0.65,0.65,0.63,0.65
654,2021-12-06,0.702,0.705,0.59,0.61
653,2021-12-03,0.82,0.8389,0.705,0.71
652,2021-12-02,0.76,0.875,0.76,0.8605
651,2021-12-01,0.82,0.8343,0.76,0.7699
650,2021-11-30,0.79,0.8847,0.7125,0.8102
649,2021-11-29,0.847,0.894,0.8,0.82
648,2021-11-26,0.768,0.8445,0.762,0.8331
647,2021-11-24,0.82,0.82,0.7703,0.78
646,2021-11-23,0.7968,0.8501,0.78,0.83
645,2021-11-22,0.78,0.8979,0.772,0.8501
644,2021-11-19,0.7899,0.8,0.7725,0.7999
643,2021-11-18,0.8151,0.8493,0.78,0.7899
642,2021-11-17,0.9,0.9,0.8126,0.833
641,2021-11-16,0.8799,0.89,0.85,0.8885
640,2021-11-15,0.88,0.88,0.831,0.8799
639,2021-11-12,0.82,0.876,0.81,0.876
638,2021-11-11,0.8146,0.8359,0.81,0.835
637,2021-11-10,0.8514,0.8514,0.8058,0.836
636,2021-11-09,0.9,0.9,0.8599,0.8649
635,2021-11-08,0.8249,0.87,0.8081,0.8451
634,2021-11-05,0.8,0.88,0.751,0.8647
633,2021-11-04,0.83,0.85,0.8001,0.82
632,2021-11-03,0.7951,0.8359,0.7899,0.8219
631,2021-11-02,0.8501,0.8801,0.721,0.7719
630,2021-11-01,0.9,0.9,0.82,0.8799
629,2021-10-29,0.8972,0.9087,0.88,0.9
628,2021-10-28,0.9339,0.9599,0.8901,0.91
627,2021-10-27,0.9,0.9834,0.89,0.9599
626,2021-10-26,0.9506,0.9506,0.88,0.92
625,2021-10-25,0.93,0.97,0.8786,0.9586
624,2021-10-22,0.97,0.97,0.873,0.936
623,2021-10-21,1.13,1.15,0.96,0.9801
622,2021-10-20,1.0,1.1,0.953,1.08
621,2021-10-19,0.8909,0.96,0.8295,0.9348
620,2021-10-18,0.81,0.81,0.72,0.807
619,2021-10-15,0.7014,0.77,0.69,0.73
618,2021-10-14,0.7,0.75,0.6812,0.709
617,2021-10-13,0.7247,0.74,0.7,0.7
616,2021-10-12,0.72,0.728,0.7,0.7132
615,2021-10-11,0.7,0.72,0.7,0.7092
614,2021-10-08,0.69,0.72,0.6805,0.7
613,2021-10-07,0.69,0.7,0.6751,0.6804
612,2021-10-06,0.68,0.69,0.67,0.675
611,2021-10-05,0.7,0.73,0.66,0.6752
610,2021-10-04,0.7,0.738,0.66,0.7
609,2021-10-01,0.715,0.73,0.7027,0.7136
608,2021-09-30,0.7068,0.73,0.68,0.7149
607,2021-09-29,0.7141,0.745,0.69,0.6966
606,2021-09-28,0.721,0.75,0.71,0.7199
605,2021-09-27,0.72,0.7494,0.705,0.72
604,2021-09-24,0.71,0.75,0.6915,0.6915
603,2021-09-23,0.7499,0.7624,0.7101,0.7121
602,2021-09-22,0.725,0.7598,0.69,0.7433
601,2021-09-21,0.72,0.75,0.6816,0.7351
600,2021-09-20,0.69,0.7273,0.66,0.7044
599,2021-09-17,0.6832,0.72,0.67,0.67
598,2021-09-16,0.71,0.7199,0.6815,0.7
597,2021-09-15,0.7,0.72,0.7,0.7089
596,2021-09-14,0.743,0.78,0.7,0.71
595,2021-09-13,0.78,0.8059,0.7579,0.7795
594,2021-09-10,0.79,0.817,0.7644,0.817
593,2021-09-09,0.7737,0.79,0.7606,0.7898
592,2021-09-08,0.82,0.82,0.761,0.8
591,2021-09-07,0.81,0.83,0.8,0.818
590,2021-09-03,0.82,0.8321,0.803,0.815
589,2021-09-02,0.83,0.85,0.81,0.8242
588,2021-09-01,0.8,0.8567,0.794,0.8392
587,2021-08-31,0.7875,0.82,0.76,0.79
586,2021-08-30,0.8,0.8,0.73,0.78
585,2021-08-27,0.79,0.82,0.7627,0.7914
584,2021-08-26,0.86,0.8678,0.756,0.7801
583,2021-08-25,0.9,0.9065,0.811,0.85
582,2021-08-24,0.78,0.85,0.7727,0.85
581,2021-08-23,0.7614,0.78,0.72,0.7552
580,2021-08-20,0.74,0.77,0.7118,0.76
