,Date,Open,High,Low,Close
825,2021-12-31,17.01,17.36,16.16,16.21
824,2021-12-30,16.85,18.05,16.52,16.93
823,2021-12-29,17.345,17.38,16.42,16.89
822,2021-12-28,17.06,17.94,16.97,17.05
821,2021-12-27,17.195,17.6,16.7,17.11
820,2021-12-23,16.79,18.03,16.68,17.65
819,2021-12-22,16.36,17.32,16.09,17.13
818,2021-12-21,16.4,16.815,16.0,16.67
817,2021-12-20,16.0,16.35,15.34,16.29
816,2021-12-17,15.39,16.23,14.95,16.15
815,2021-12-16,16.62,16.645,15.31,15.51
814,2021-12-15,15.57,16.79,15.25,16.6
813,2021-12-14,15.9,16.615,15.64,15.73
812,2021-12-13,16.14,16.77,15.5,16.02
811,2021-12-10,17.45,17.45,16.24,16.34
810,2021-12-09,17.59,18.28,16.92,17.04
809,2021-12-08,16.99,18.04,16.53,17.95
808,2021-12-07,16.35,18.09,16.14,17.39
807,2021-12-06,16.32,16.705,15.62,16.53
806,2021-12-03,17.61,17.61,16.25,16.35
805,2021-12-02,16.37,17.42,16.21,17.35
804,2021-12-01,17.48,17.74,15.97,16.04
803,2021-11-30,17.03,17.3,16.59,17.08
802,2021-11-29,17.63,18.27,16.94,17.03
801,2021-11-26,17.38,17.6515,16.38,17.15
800,2021-11-24,17.04,18.125,16.835,17.73
799,2021-11-23,17.48,18.28,16.4,17.24
798,2021-11-22,18.09,18.49,17.23,17.28
797,2021-11-19,18.95,19.045,17.91,18.15
796,2021-11-18,19.38,20.1,18.76,19.23
795,2021-11-17,18.9,19.29,18.3,19.03
794,2021-11-16,20.49,20.62,18.62,18.95
793,2021-11-15,22.67,22.91,21.71,21.9
792,2021-11-12,22.0,22.83,21.74,22.45
791,2021-11-11,21.98,22.5475,21.33,21.86
790,2021-11-10,22.76,23.0,21.76,21.92
789,2021-11-09,22.15,23.01,21.78,22.53
788,2021-11-08,22.29,23.105,21.7439,22.3
787,2021-11-05,22.68,25.72,22.0101,22.23
786,2021-11-04,28.495,28.495,23.5,23.73
785,2021-11-03,26.55,27.92,25.98,27.7
784,2021-11-02,25.94,26.46,25.6,26.29
783,2021-11-01,24.455,26.165,24.41,26.08
782,2021-10-29,25.51,25.655,24.06,24.56
781,2021-10-28,24.76,25.82,24.53,25.72
780,2021-10-27,25.27,25.595,24.66,24.82
779,2021-10-26,26.1,26.24,25.38,25.45
778,2021-10-25,26.4,27.22,25.702,25.91
777,2021-10-22,26.53,26.8,25.626,26.55
776,2021-10-21,26.45,26.68,25.85,26.27
775,2021-10-20,26.22,26.49,25.95,26.14
774,2021-10-19,26.43,27.265,26.28,26.46
773,2021-10-18,26.44,26.76,25.77,26.53
772,2021-10-15,28.3,28.3,26.63,26.68
771,2021-10-14,27.87,28.39,27.63,27.88
770,2021-10-13,27.41,27.7,26.86,27.49
769,2021-10-12,27.35,27.68,26.55,27.32
768,2021-10-11,27.58,28.11,27.28,27.3
767,2021-10-08,28.1,28.1,26.8,27.62
766,2021-10-07,28.24,29.24,27.651,27.82
765,2021-10-06,27.45,28.7,27.45,27.97
764,2021-10-05,27.32,28.22,27.3,28.0
763,2021-10-04,29.34,29.34,27.01,27.32
762,2021-10-01,28.38,29.525,27.45,29.31
761,2021-09-30,28.15,28.6,27.8,28.54
760,2021-09-29,29.16,29.18,27.74,27.92
759,2021-09-28,29.4,29.88,28.69,28.76
758,2021-09-27,29.73,30.16,28.65,29.55
757,2021-09-24,29.75,29.78,28.58,28.7
756,2021-09-23,29.82,30.7147,29.47,30.22
755,2021-09-22,31.34,31.34,29.83,29.87
754,2021-09-21,31.45,32.04,30.765,30.92
753,2021-09-20,31.05,32.28,30.83,31.12
752,2021-09-17,34.06,34.33,32.3,32.3
751,2021-09-16,33.41,33.91,32.52,33.9
750,2021-09-15,33.19,34.19,33.175,33.85
749,2021-09-14,33.36,33.74,33.01,33.23
748,2021-09-13,32.67,34.6,32.67,33.36
747,2021-09-10,33.04,33.5,32.67,33.0
746,2021-09-09,31.62,33.165,31.23,32.86
745,2021-09-08,31.79,32.38,31.075,31.87
744,2021-09-07,32.03,32.76,31.27,31.93
743,2021-09-03,33.08,33.679,31.97,32.33
742,2021-09-02,33.03,33.95,32.59,33.13
741,2021-09-01,30.63,32.95,29.777,32.87
740,2021-08-31,30.17,31.3,29.87,30.78
739,2021-08-30,29.59,30.25,29.46,29.85
738,2021-08-27,28.49,29.9,28.49,29.82
737,2021-08-26,28.65,29.0,28.18,28.58
736,2021-08-25,29.215,29.51,28.69,28.87
735,2021-08-24,29.0,29.59,28.34,28.82
734,2021-08-23,28.6,29.585,28.52,29.0
733,2021-08-20,27.77,28.81,27.36,28.39
732,2021-08-19,28.13,28.159,27.34,27.47
731,2021-08-18,28.97,28.97,27.79,27.85
730,2021-08-17,28.51,29.72,28.38,28.66
729,2021-08-16,29.09,29.69,28.12,28.97
728,2021-08-13,30.31,31.235,28.88,29.09
727,2021-08-12,29.84,30.22,28.74,30.06
726,2021-08-11,29.18,30.22,28.21,29.92
725,2021-08-10,29.15,29.81,27.13,29.24
724,2021-08-09,30.01,30.39,28.4875,28.9
723,2021-08-06,39.01,39.8199,28.82,29.25
722,2021-08-05,35.81,37.31,34.728,37.31
721,2021-08-04,33.72,35.7,33.72,35.6
720,2021-08-03,34.43,34.5,32.83,34.21
719,2021-08-02,33.32,34.38,33.06,34.3
718,2021-07-30,33.33,33.385,32.23,33.1
717,2021-07-29,34.19,35.67,33.24,33.5
716,2021-07-28,32.5,34.16,31.96,34.04
715,2021-07-27,32.51,33.19,30.95,32.45
714,2021-07-26,35.44,35.45,32.29,32.73
713,2021-07-23,34.7,35.63,33.98,35.33
712,2021-07-22,34.5,35.78,33.89,34.65
711,2021-07-21,32.86,35.3095,32.36,35.05
710,2021-07-20,31.19,33.1,31.19,32.74
709,2021-07-19,31.1,31.875,30.86,31.15
708,2021-07-16,31.47,32.68,31.25,31.66
707,2021-07-15,30.49,31.55,30.36,31.17
706,2021-07-14,31.61,32.5,30.56,30.73
705,2021-07-13,32.49,32.49,31.0,31.86
704,2021-07-12,32.95,33.305,32.11,32.83
703,2021-07-09,31.92,33.03,31.0,32.94
702,2021-07-08,31.88,32.44,31.01,31.62
701,2021-07-07,32.59,32.98,31.315,31.89
700,2021-07-06,34.15,34.18,32.16,32.57
699,2021-07-02,35.35,35.35,33.71,34.6
698,2021-07-01,33.88,35.2,33.64,35.13
697,2021-06-30,33.72,34.27,33.45,33.8
696,2021-06-29,34.03,34.76,33.42,33.88
695,2021-06-28,34.87,35.18,33.08,33.72
694,2021-06-25,34.57,35.401,33.86,34.33
693,2021-06-24,34.59,35.38,33.97,34.45
692,2021-06-23,33.52,34.82,33.52,34.21
691,2021-06-22,36.17,36.74,33.43,34.0
690,2021-06-21,36.36,36.85,35.45,36.75
689,2021-06-18,37.0,37.34,35.33,36.22
688,2021-06-17,35.78,37.74,35.28,37.64
687,2021-06-16,34.85,36.07,34.2,35.78
686,2021-06-15,36.19,36.88,34.22,34.58
685,2021-06-14,36.28,37.04,35.14,36.37
684,2021-06-11,37.55,38.13,35.89,36.29
683,2021-06-10,36.33,38.39,35.895,37.53
682,2021-06-09,35.95,36.6923,35.5001,36.38
681,2021-06-08,35.07,35.86,33.99,35.67
680,2021-06-07,33.06,35.58,32.8,35.07
679,2021-06-04,34.18,34.4725,32.96,33.23
678,2021-06-03,33.82,34.46,32.92,33.65
677,2021-06-02,35.25,35.57,33.79,34.24
676,2021-06-01,35.96,36.45,34.94,35.04
675,2021-05-28,37.12,37.83,35.66,35.83
674,2021-05-27,37.11,37.4,36.11,36.96
673,2021-05-26,36.25,37.27,35.96,36.79
672,2021-05-25,35.79,36.49,34.86,35.99
671,2021-05-24,35.61,36.11,34.61,35.69
670,2021-05-21,36.25,36.7,35.56,35.65
669,2021-05-20,33.89,36.2,33.5,36.04
668,2021-05-19,33.6,35.41,32.9,33.55
667,2021-05-18,33.5,34.8399,33.0,34.17
666,2021-05-17,33.56,34.16,32.99,33.4
665,2021-05-14,32.94,34.41,32.35,34.19
664,2021-05-13,31.85,33.69,31.22,32.75
663,2021-05-12,32.02,32.96,31.15,31.3
662,2021-05-11,30.65,33.97,30.64,32.57
661,2021-05-10,34.93,35.25,31.22,31.37
660,2021-05-07,28.78,34.36,28.78,34.2
659,2021-05-06,28.06,28.8,27.25,28.65
658,2021-05-05,28.21,29.58,27.95,28.3
657,2021-05-04,29.71,29.82,27.73,28.07
656,2021-05-03,30.13,30.8,29.22,30.0
655,2021-04-30,29.51,30.42,29.51,30.07
654,2021-04-29,29.21,29.95,28.73,29.69
653,2021-04-28,27.84,29.73,27.41,29.14
652,2021-04-27,28.49,28.87,27.78,28.11
651,2021-04-26,27.97,28.3984,27.08,28.39
650,2021-04-23,27.42,27.8,26.56,27.35
649,2021-04-22,26.8,28.08,26.19,27.04
648,2021-04-21,26.46,26.76,25.785,26.7
647,2021-04-20,25.18,26.28,25.18,26.11
646,2021-04-19,26.15,26.72,25.11,25.45
645,2021-04-16,27.71,27.77,25.905,26.22
644,2021-04-15,26.85,27.68,26.56,27.3
643,2021-04-14,25.72,27.2,25.69,26.79
642,2021-04-13,26.55,26.93,24.775,25.58
641,2021-04-12,27.0,28.03,26.08,26.33
640,2021-04-09,28.35,28.45,26.135,26.38
639,2021-04-08,28.67,29.445,28.24,28.49
638,2021-04-07,29.0,29.64,28.06,28.34
637,2021-04-06,30.04,30.75,29.37,29.56
