,Date,Open,High,Low,Close
283,2021-12-31,10.57,10.57,10.57,10.57
282,2021-12-30,10.57,10.57,10.57,10.57
281,2021-12-29,10.57,10.57,10.57,10.57
280,2021-12-28,10.6001,10.6001,10.6001,10.6001
279,2021-12-27,10.59,10.59,10.59,10.59
278,2021-12-23,10.59,10.59,10.59,10.59
277,2021-12-22,10.599,10.599,10.586,10.59
276,2021-12-21,10.6,10.605,10.58,10.6
275,2021-12-20,10.45,10.45,10.45,10.45
274,2021-12-17,10.45,10.4517,10.45,10.4517
273,2021-12-16,10.515,10.515,10.515,10.515
272,2021-12-15,10.515,10.515,10.515,10.515
271,2021-12-14,10.5039,10.5039,10.5039,10.5039
270,2021-12-13,10.52,10.5212,10.52,10.5212
269,2021-12-10,10.56,10.56,10.56,10.56
268,2021-12-09,10.56,10.56,10.56,10.56
267,2021-12-08,10.56,10.56,10.56,10.56
266,2021-12-07,10.52,10.565,10.52,10.55
265,2021-12-06,10.53,10.53,10.53,10.53
264,2021-12-03,10.53,10.53,10.53,10.53
263,2021-12-02,10.53,10.53,10.53,10.53
262,2021-12-01,10.56,10.56,10.56,10.56
261,2021-11-30,10.56,10.56,10.56,10.56
260,2021-11-29,10.54,10.54,10.54,10.54
259,2021-11-26,10.59,10.59,10.57,10.57
258,2021-11-24,10.6,10.6,10.6,10.6
257,2021-11-23,10.6,10.6,10.6,10.6
256,2021-11-22,10.57,10.57,10.57,10.57
255,2021-11-19,10.57,10.59,10.57,10.59
254,2021-11-18,10.59,10.61,10.59,10.6
253,2021-11-17,10.54,10.54,10.54,10.54
252,2021-11-16,10.54,10.54,10.54,10.54
251,2021-11-15,10.59,10.59,10.59,10.59
250,2021-11-12,10.59,10.59,10.59,10.59
249,2021-11-11,10.59,10.59,10.59,10.59
248,2021-11-10,10.59,10.59,10.59,10.59
247,2021-11-09,10.59,10.59,10.59,10.59
246,2021-11-08,10.59,10.59,10.59,10.59
245,2021-11-05,10.59,10.59,10.59,10.59
244,2021-11-04,10.55,10.59,10.54,10.59
243,2021-11-03,10.55,10.64,10.55,10.5501
242,2021-11-02,10.55,10.55,10.54,10.55
241,2021-11-01,10.56,10.56,10.56,10.56
240,2021-10-29,10.5001,10.5001,10.5001,10.5001
239,2021-10-28,10.5001,10.5001,10.5001,10.5001
238,2021-10-27,10.55,10.55,10.55,10.55
237,2021-10-26,10.55,10.55,10.55,10.55
236,2021-10-25,10.55,10.55,10.55,10.55
235,2021-10-22,10.55,10.55,10.55,10.55
234,2021-10-21,10.54,10.54,10.54,10.54
233,2021-10-20,10.525,10.525,10.525,10.525
232,2021-10-19,10.5,10.54,10.5,10.54
231,2021-10-18,10.53,10.53,10.5201,10.53
230,2021-10-15,10.54,10.54,10.54,10.54
229,2021-10-14,10.53,10.54,10.5,10.54
228,2021-10-13,10.53,10.53,10.515,10.52
227,2021-10-12,10.53,10.53,10.5001,10.5001
226,2021-10-11,10.525,10.525,10.525,10.525
225,2021-10-08,10.51,10.51,10.51,10.51
224,2021-10-07,10.51,10.51,10.51,10.51
223,2021-10-06,10.51,10.51,10.51,10.51
222,2021-10-05,10.52,10.52,10.52,10.52
221,2021-10-04,10.52,10.52,10.52,10.52
220,2021-10-01,10.52,10.53,10.52,10.52
219,2021-09-30,10.5274,10.5274,10.52,10.52
218,2021-09-29,10.6,10.6,10.6,10.6
217,2021-09-28,10.6,10.6,10.6,10.6
216,2021-09-27,10.6,10.6,10.6,10.6
215,2021-09-24,10.6,10.6,10.6,10.6
214,2021-09-23,10.51,10.51,10.51,10.51
213,2021-09-22,10.51,10.51,10.51,10.51
212,2021-09-21,10.49,10.49,10.49,10.49
211,2021-09-20,10.49,10.49,10.49,10.49
210,2021-09-17,10.49,10.49,10.49,10.49
209,2021-09-16,10.4778,10.4778,10.4778,10.4778
208,2021-09-15,10.46,10.46,10.46,10.46
207,2021-09-14,10.6726,10.6726,10.6726,10.6726
206,2021-09-13,10.6726,10.6726,10.6726,10.6726
205,2021-09-10,10.4301,10.5,10.4301,10.5
204,2021-09-09,10.4395,10.4395,10.4395,10.4395
203,2021-09-08,10.5112,10.5112,10.5,10.5
202,2021-09-07,10.52,10.52,10.52,10.52
201,2021-09-03,10.46,10.52,10.45,10.52
200,2021-09-02,10.46,10.46,10.43,10.445
199,2021-09-01,10.5,10.5,10.43,10.45
198,2021-08-31,10.5,10.5,10.5,10.5
197,2021-08-30,10.98,10.98,10.47,10.4901
196,2021-08-27,10.505,10.505,10.47,10.5
195,2021-08-26,10.495,10.495,10.466,10.4838
194,2021-08-25,10.4101,10.4101,10.4101,10.4101
193,2021-08-24,10.4101,10.4101,10.4101,10.4101
192,2021-08-23,10.46,10.465,10.4101,10.4101
191,2021-08-20,10.59,10.59,10.58,10.58
190,2021-08-19,10.4683,10.4683,10.4683,10.4683
189,2021-08-18,10.43,10.43,10.43,10.43
188,2021-08-17,10.5,10.7,10.43,10.43
187,2021-08-16,10.46,10.48,10.46,10.48
186,2021-08-13,10.56,10.56,10.56,10.56
185,2021-08-12,10.56,10.56,10.56,10.56
184,2021-08-11,10.56,10.56,10.56,10.56
