,Date,Open,High,Low,Close
440,2021-12-31,82.69,85.88,82.26,84.06
439,2021-12-30,83.34,85.95,82.3,82.68
438,2021-12-29,83.82,84.44,79.69,83.43
437,2021-12-28,81.36,85.48,81.36,83.66
436,2021-12-27,84.82,84.82,81.31,81.65
435,2021-12-23,82.12,84.55,81.12,83.96
434,2021-12-22,80.85,82.31,78.82,82.01
433,2021-12-21,79.74,80.96,77.91,80.96
432,2021-12-20,78.9,81.15,76.5,79.46
431,2021-12-17,75.8,81.43,72.0,80.1
430,2021-12-16,79.83,83.73,76.05,76.57
429,2021-12-15,71.25,79.38,70.795,79.28
428,2021-12-14,69.5,73.61,66.54,71.25
427,2021-12-13,71.18,76.27,69.71,70.59
426,2021-12-10,72.01,75.175,70.41,71.25
425,2021-12-09,76.1,76.1,71.41,71.65
424,2021-12-08,76.03,77.61,74.8,77.06
423,2021-12-07,72.93,78.0,72.15,75.81
422,2021-12-06,71.33,73.93,69.93,71.3
421,2021-12-03,78.76,78.76,72.47,72.7
420,2021-12-02,72.16,79.335,72.16,78.19
419,2021-12-01,81.84,81.97,72.35,73.41
418,2021-11-30,77.29,82.45,75.94,82.05
417,2021-11-29,77.27,78.46,75.41,77.61
416,2021-11-26,76.16,77.16,74.69,75.8
415,2021-11-24,75.13,77.6213,74.15,77.53
414,2021-11-23,74.5,76.02,69.585,75.69
413,2021-11-22,78.46,78.73,74.57,74.75
412,2021-11-19,78.85,80.47,76.7,77.63
411,2021-11-18,79.2,80.36,76.57,78.9
410,2021-11-17,76.89,79.7,75.635,79.28
409,2021-11-16,76.47,78.92,75.03,77.02
408,2021-11-15,77.77,78.105,74.47,77.3
407,2021-11-12,78.86,79.91,76.03,77.54
406,2021-11-11,79.95,81.125,78.13,78.71
405,2021-11-10,78.77,79.81,76.63,78.22
404,2021-11-09,79.27,79.89,77.1,78.1
403,2021-11-08,83.77,83.77,78.4,79.34
402,2021-11-05,83.92,84.29,80.23,82.69
401,2021-11-04,85.01,87.19,82.74,83.73
400,2021-11-03,81.27,86.11,77.98,84.79
399,2021-11-02,81.12,81.61,77.151,80.9
398,2021-11-01,80.46,83.35,80.03,80.93
397,2021-10-29,79.3,81.345,78.105,80.44
396,2021-10-28,76.7,79.88,76.16,79.73
395,2021-10-27,79.79,79.9,76.565,76.84
394,2021-10-26,78.5,80.395,77.8,79.09
393,2021-10-25,77.59,78.9,75.69,78.4
392,2021-10-22,77.63,79.24,74.38,77.93
391,2021-10-21,77.13,79.63,76.05,78.17
390,2021-10-20,76.3,80.75,74.98,77.23
389,2021-10-19,73.9,76.35,73.01,75.54
388,2021-10-18,74.61,75.3,71.83,72.9
387,2021-10-15,79.51,79.57,74.75,74.9
386,2021-10-14,80.0,81.4,77.0,77.92
385,2021-10-13,79.66,81.0,77.66,78.76
384,2021-10-12,77.34,79.51,75.95,79.07
383,2021-10-11,76.71,77.7812,75.47,77.0
382,2021-10-08,72.25,76.99,71.32,76.47
381,2021-10-07,69.01,73.04,68.13,72.0
380,2021-10-06,68.05,68.05,65.76,67.58
