,Date,Open,High,Low,Close
1366,2021-12-31,0.3288,0.3299,0.3051,0.3065
1365,2021-12-30,0.3135,0.33,0.3102,0.329
1364,2021-12-29,0.318,0.334,0.31,0.3162
1363,2021-12-28,0.3392,0.3398,0.314,0.318
1362,2021-12-27,0.3495,0.355,0.335,0.3381
1361,2021-12-23,0.35,0.3666,0.346,0.35
1360,2021-12-22,0.3544,0.3562,0.342,0.3538
1359,2021-12-21,0.342,0.36,0.3419,0.36
1358,2021-12-20,0.35,0.352,0.33,0.35
1357,2021-12-17,0.3545,0.3637,0.341,0.36
1356,2021-12-16,0.3598,0.369,0.35,0.369
1355,2021-12-15,0.3432,0.3613,0.3355,0.356
1354,2021-12-14,0.3546,0.3627,0.34,0.3455
1353,2021-12-13,0.37,0.3724,0.351,0.3627
1352,2021-12-10,0.369,0.369,0.35,0.36
1351,2021-12-09,0.388,0.39,0.3511,0.3511
1350,2021-12-08,0.4,0.4039,0.372,0.3871
1349,2021-12-07,0.35,0.3918,0.343,0.3731
1348,2021-12-06,0.3405,0.35,0.323,0.3403
1347,2021-12-03,0.38,0.388,0.33,0.33
1346,2021-12-02,0.38,0.3848,0.365,0.38
1345,2021-12-01,0.4,0.406,0.3721,0.375
1344,2021-11-30,0.4141,0.415,0.382,0.3957
1343,2021-11-29,0.43,0.4339,0.405,0.42
1342,2021-11-26,0.4243,0.429,0.4172,0.4265
1341,2021-11-24,0.4249,0.443,0.42,0.4354
1340,2021-11-23,0.4575,0.465,0.4211,0.4326
1339,2021-11-22,0.465,0.474,0.415,0.4389
1338,2021-11-19,0.4515,0.479,0.45,0.479
1337,2021-11-18,0.4848,0.4849,0.4489,0.46
1336,2021-11-17,0.4902,0.4903,0.48,0.48
1335,2021-11-16,0.5016,0.5028,0.4801,0.4981
1334,2021-11-15,0.5129,0.5175,0.5,0.5027
1333,2021-11-12,0.52,0.5448,0.515,0.539
1332,2021-11-11,0.5216,0.5339,0.513,0.5142
1331,2021-11-10,0.546,0.546,0.515,0.5192
1330,2021-11-09,0.57,0.57,0.536,0.5457
1329,2021-11-08,0.5318,0.5885,0.5309,0.577
1328,2021-11-05,0.5699,0.5699,0.526,0.528
1327,2021-11-04,0.5425,0.6,0.5353,0.58
1326,2021-11-03,0.5132,0.53,0.5105,0.5198
1325,2021-11-02,0.5137,0.52,0.5047,0.5198
1324,2021-11-01,0.5069,0.5276,0.5032,0.5176
1323,2021-10-29,0.5005,0.5145,0.5005,0.5104
1322,2021-10-28,0.5025,0.516,0.4955,0.5027
1321,2021-10-27,0.515,0.515,0.5,0.5
1320,2021-10-26,0.5243,0.5248,0.5,0.5146
1319,2021-10-25,0.4957,0.545,0.4956,0.5281
1318,2021-10-22,0.5038,0.5127,0.495,0.499
1317,2021-10-21,0.5111,0.515,0.505,0.5098
1316,2021-10-20,0.515,0.5171,0.51,0.5107
1315,2021-10-19,0.51,0.5263,0.506,0.51
1314,2021-10-18,0.5047,0.52,0.501,0.5117
1313,2021-10-15,0.515,0.515,0.5015,0.5015
1312,2021-10-14,0.514,0.519,0.508,0.515
1311,2021-10-13,0.5021,0.522,0.5021,0.5145
1310,2021-10-12,0.514,0.5148,0.5,0.5
1309,2021-10-11,0.51,0.5124,0.5037,0.5051
1308,2021-10-08,0.5131,0.5248,0.51,0.5112
1307,2021-10-07,0.51,0.527,0.51,0.5196
1306,2021-10-06,0.51,0.53,0.5005,0.5091
1305,2021-10-05,0.5395,0.559,0.51,0.51
1304,2021-10-04,0.58,0.6,0.5305,0.5305
1303,2021-10-01,0.62,0.63,0.557,0.5694
1302,2021-09-30,0.5036,0.5598,0.5036,0.5235
1301,2021-09-29,0.5151,0.526,0.503,0.5075
1300,2021-09-28,0.53,0.533,0.5009,0.503
1299,2021-09-27,0.51,0.5375,0.509,0.5375
1298,2021-09-24,0.5205,0.5286,0.5121,0.5178
