,Date,Open,High,Low,Close
1746,2021-12-31,0.48,0.5,0.4605,0.47
1745,2021-12-30,0.5,0.5001,0.4811,0.4811
1744,2021-12-29,0.51,0.5149,0.4805,0.4825
1743,2021-12-28,0.5189,0.5249,0.49,0.4977
1742,2021-12-27,0.53,0.54,0.52,0.53
1741,2021-12-23,0.54,0.55,0.5225,0.5437
1740,2021-12-22,0.55,0.5584,0.5399,0.543
1739,2021-12-21,0.5414,0.57,0.5414,0.5532
1738,2021-12-20,0.511,0.5739,0.5101,0.57
1737,2021-12-17,0.53,0.5588,0.51,0.51
1736,2021-12-16,0.5418,0.5699,0.5254,0.5349
1735,2021-12-15,0.53,0.558,0.516,0.5442
1734,2021-12-14,0.55,0.558,0.5351,0.5447
1733,2021-12-13,0.55,0.56,0.532,0.553
1732,2021-12-10,0.5779,0.58,0.56,0.57
1731,2021-12-09,0.56,0.5779,0.56,0.5601
1730,2021-12-08,0.55,0.5823,0.55,0.572
1729,2021-12-07,0.53,0.57,0.5239,0.558
1728,2021-12-06,0.52,0.5479,0.501,0.534
1727,2021-12-03,0.5794,0.5899,0.5191,0.5251
1726,2021-12-02,0.57,0.595,0.5526,0.5737
1725,2021-12-01,0.6,0.615,0.57,0.5785
1724,2021-11-30,0.5945,0.6,0.578,0.6
1723,2021-11-29,0.6073,0.6099,0.59,0.59
1722,2021-11-26,0.61,0.6105,0.58,0.6
1721,2021-11-24,0.59,0.6199,0.5803,0.603
1720,2021-11-23,0.6026,0.62,0.58,0.595
1719,2021-11-22,0.619,0.629,0.602,0.6033
1718,2021-11-19,0.63,0.645,0.619,0.6335
1717,2021-11-18,0.682,0.6859,0.635,0.65
1716,2021-11-17,0.8443,0.85,0.6617,0.6858
1715,2021-11-16,0.63,0.6373,0.612,0.6224
1714,2021-11-15,0.6492,0.65,0.622,0.6398
1713,2021-11-12,0.65,0.65,0.62,0.6329
1712,2021-11-11,0.6304,0.6467,0.63,0.64
1711,2021-11-10,0.66,0.69,0.625,0.6467
1710,2021-11-09,0.6749,0.6794,0.662,0.6653
1709,2021-11-08,0.6912,0.6912,0.6789,0.6876
1708,2021-11-05,0.662,0.6925,0.6602,0.6925
1707,2021-11-04,0.661,0.6744,0.6517,0.6648
1706,2021-11-03,0.665,0.6832,0.6505,0.681
1705,2021-11-02,0.7153,0.72,0.6343,0.6832
1704,2021-11-01,0.7656,0.788,0.7,0.702
1703,2021-10-29,0.611,0.6128,0.595,0.6049
1702,2021-10-28,0.594,0.6209,0.591,0.613
1701,2021-10-27,0.6044,0.6288,0.6,0.6009
1700,2021-10-26,0.606,0.606,0.585,0.605
1699,2021-10-25,0.59,0.6039,0.5801,0.6
1698,2021-10-22,0.62,0.63,0.581,0.5947
1697,2021-10-21,0.6217,0.63,0.615,0.6206
1696,2021-10-20,0.623,0.6299,0.618,0.6237
1695,2021-10-19,0.6222,0.63,0.6175,0.6277
1694,2021-10-18,0.62,0.635,0.6152,0.623
1693,2021-10-15,0.64,0.642,0.6251,0.6342
1692,2021-10-14,0.64,0.6498,0.631,0.6416
1691,2021-10-13,0.6339,0.64,0.621,0.6354
1690,2021-10-12,0.6399,0.6399,0.62,0.6292
1689,2021-10-11,0.621,0.6467,0.62,0.6289
1688,2021-10-08,0.6456,0.6492,0.6201,0.6277
1687,2021-10-07,0.6287,0.6514,0.62,0.6456
1686,2021-10-06,0.645,0.645,0.611,0.6273
1685,2021-10-05,0.7031,0.7035,0.63,0.6605
1684,2021-10-04,0.7301,0.735,0.6708,0.6935
1683,2021-10-01,0.72,0.7249,0.694,0.7108
1682,2021-09-30,0.72,0.7299,0.7,0.7197
1681,2021-09-29,0.74,0.7557,0.7101,0.7115
1680,2021-09-28,0.75,0.75,0.721,0.74
1679,2021-09-27,0.73,0.7789,0.73,0.759
1678,2021-09-24,0.7029,0.7189,0.6904,0.7121
