,Date,Open,High,Low,Close
956,2021-12-31,324.46,326.0,321.0,321.33
955,2021-12-30,323.18,329.68,323.005,324.59
954,2021-12-29,326.0,326.0,317.0,323.18
953,2021-12-28,331.55,332.05,321.65,324.66
952,2021-12-27,326.85,332.5,326.39,329.89
951,2021-12-23,322.0,326.2399,316.75,323.0
950,2021-12-22,319.08,322.48,314.02,322.01
949,2021-12-21,307.88,320.685,300.11,319.42
948,2021-12-20,298.45,308.49,294.5396,305.94
947,2021-12-17,286.71,307.07,285.0,304.87
946,2021-12-16,305.0,307.19,291.78,295.25
945,2021-12-15,282.97,309.04,281.557,307.24
944,2021-12-14,285.44,287.83,272.52,284.34
943,2021-12-13,311.1,320.99,304.17,308.54
942,2021-12-10,303.5,311.87,300.5,305.75
941,2021-12-09,313.0,317.78,300.265,303.04
940,2021-12-08,298.38,313.41,293.2,311.81
939,2021-12-07,286.0,300.44,285.0101,297.76
938,2021-12-06,301.94,304.1674,265.33,274.36
937,2021-12-03,330.0,330.0,300.54,313.35
936,2021-12-02,318.22,334.7399,316.51,331.97
935,2021-12-01,371.06,373.74,314.7,318.21
934,2021-11-30,355.88,358.82,343.69,346.97
933,2021-11-29,342.27,358.36,342.27,355.92
932,2021-11-26,343.04,347.65,335.38,336.9
931,2021-11-24,334.77,343.705,328.475,342.47
930,2021-11-23,336.6,345.579,330.66,336.11
929,2021-11-22,367.07,368.0,342.2201,343.86
928,2021-11-19,372.5,376.11,367.54,368.78
927,2021-11-18,358.26,369.9,358.12,365.65
926,2021-11-17,352.75,358.13,345.74,356.0
925,2021-11-16,345.8,355.41,345.61,353.75
924,2021-11-15,352.91,352.91,341.83,345.8
923,2021-11-12,346.76,349.57,343.16,349.07
922,2021-11-11,343.17,348.27,342.23,343.62
921,2021-11-10,348.27,350.6142,333.73,337.11
920,2021-11-09,353.4,356.45,347.72,352.61
919,2021-11-08,340.55,351.9,339.37,350.17
918,2021-11-05,333.95,338.54,332.11,338.49
917,2021-11-04,329.0,333.88,325.16,331.9
916,2021-11-03,328.5,329.0,321.3101,327.5
915,2021-11-02,318.51,326.2,317.3828,325.87
914,2021-11-01,319.46,321.5,315.13,318.68
913,2021-10-29,315.95,319.99,314.0,318.86
912,2021-10-28,310.94,316.99,308.24,316.34
911,2021-10-27,316.2,319.84,309.01,310.1
910,2021-10-26,313.88,316.0,307.89,315.32
909,2021-10-25,308.0,314.106,305.57,311.2
908,2021-10-22,305.73,309.69,304.01,307.87
907,2021-10-21,298.7,305.77,298.4105,305.69
906,2021-10-20,300.2082,301.77,294.4,297.67
905,2021-10-19,301.5,303.61,297.4101,298.03
904,2021-10-18,292.51,301.33,291.6,301.31
903,2021-10-15,294.5,294.99,291.61,292.7
902,2021-10-14,290.0,294.44,288.66,293.89
901,2021-10-13,279.78,287.97,279.32,286.64
900,2021-10-12,270.08,278.34,266.765,277.72
899,2021-10-11,263.6,271.17,262.02,267.7
898,2021-10-08,272.3,272.3,266.0,266.66
897,2021-10-07,266.02,274.24,265.58,269.88
896,2021-10-06,256.28,265.615,255.1053,264.25
895,2021-10-05,253.45,260.0,252.5,258.5
894,2021-10-04,261.35,261.35,248.33,251.86
893,2021-10-01,263.17,264.85,257.0968,263.16
892,2021-09-30,260.41,263.52,258.3,262.22
891,2021-09-29,263.41,265.42,256.8,258.88
890,2021-09-28,267.99,268.0,256.01,258.74
889,2021-09-27,277.7,279.5726,271.21,272.73
888,2021-09-24,280.0,280.4,271.3,279.99
887,2021-09-23,279.94,281.9,276.3596,280.02
886,2021-09-22,273.96,279.17,271.15,277.7
885,2021-09-21,272.23,275.7399,269.48,272.33
884,2021-09-20,268.0028,275.0,267.28,269.98
883,2021-09-17,273.33,276.51,269.67,275.66
882,2021-09-16,273.25,274.64,266.71,274.39
881,2021-09-15,275.87,278.03,270.16,273.44
880,2021-09-14,269.94,276.0,269.07,275.8
879,2021-09-13,267.6,269.55,260.12,267.84
878,2021-09-10,289.03,289.03,269.5201,270.64
877,2021-09-09,280.42,284.25,278.63,280.22
876,2021-09-08,282.255,283.99,277.2,280.66
875,2021-09-07,293.44,293.44,280.05,282.905
874,2021-09-03,282.55,288.87,281.38,287.4
873,2021-09-02,277.11,284.79,276.35,282.2
872,2021-09-01,276.14,279.53,275.56,276.71
871,2021-08-31,276.76,279.14,273.11,278.34
870,2021-08-30,275.65,279.29,272.57,278.17
869,2021-08-27,268.6677,275.0,266.77,273.73
868,2021-08-26,263.0,270.8999,262.549,266.97
867,2021-08-25,258.35,263.55,256.97,263.03
866,2021-08-24,258.9742,259.84,255.63,257.97
865,2021-08-23,248.99,252.65,246.23,250.81
864,2021-08-20,246.65,250.0,243.64,246.4
863,2021-08-19,242.0,245.63,241.69,244.88
862,2021-08-18,242.15,244.84,237.58,242.54
861,2021-08-17,243.43,243.43,237.0,241.47
860,2021-08-16,244.0,245.2,237.3,243.43
859,2021-08-13,244.0,246.9899,242.4,245.15
858,2021-08-12,235.18,244.2,235.18,242.94
857,2021-08-11,241.5789,243.334,235.3,237.67
856,2021-08-10,246.71,247.67,238.0701,240.5
855,2021-08-09,241.5,245.58,239.885,245.04
854,2021-08-06,247.0,247.43,237.86,242.05
853,2021-08-05,248.0,249.71,245.62,247.67
852,2021-08-04,243.63,248.835,242.99,247.93
851,2021-08-03,239.51,244.87,238.32,243.07
850,2021-08-02,237.0,242.11,229.5,239.04
849,2021-07-30,235.97,239.09,235.25,235.91
848,2021-07-29,235.015,239.5,234.87,237.03
847,2021-07-28,234.61,238.5,231.36,236.84
846,2021-07-27,236.2,238.0,228.73,233.03
845,2021-07-26,235.73,237.3146,230.88,234.52
844,2021-07-23,237.14,240.29,234.7,238.72
843,2021-07-22,232.0,237.45,230.65,235.59
842,2021-07-21,228.88,232.605,226.36,231.06
841,2021-07-20,227.08,230.21,221.68,229.11
840,2021-07-19,217.5,223.55,216.45,223.01
839,2021-07-16,221.74,223.435,217.88,221.16
838,2021-07-15,227.15,227.25,218.34,219.31
837,2021-07-14,229.91,231.0,223.25,224.51
836,2021-07-13,230.0,234.76,226.31,227.18
