,Date,Open,High,Low,Close
1303,2021-12-31,27.78,28.59,27.6401,28.22
1302,2021-12-30,26.56,28.12,26.55,27.97
1301,2021-12-29,26.85,26.87,26.33,26.75
1300,2021-12-28,26.89,27.04,26.63,26.89
1299,2021-12-27,27.36,27.63,26.87,26.97
1298,2021-12-23,27.47,27.71,26.47,27.4
1297,2021-12-22,27.31,27.93,27.21,27.69
1296,2021-12-21,27.34,28.0,27.34,27.75
1295,2021-12-20,27.48,27.64,26.85,26.92
1294,2021-12-17,27.83,28.1,27.4652,27.85
1293,2021-12-16,28.71,28.965,27.96,28.0
1292,2021-12-15,29.84,29.97,28.17,28.57
1291,2021-12-14,30.7,30.91,29.99,30.03
1290,2021-12-13,31.3,31.59,30.88,31.13
1289,2021-12-10,31.32,31.75,31.04,31.55
1288,2021-12-09,31.5,32.45,31.36,31.4
1287,2021-12-08,30.0,31.955,29.72,31.79
1286,2021-12-07,29.355,30.28,29.27,30.0
1285,2021-12-06,29.1,29.36,28.67,28.74
1284,2021-12-03,30.89,31.11,28.678,28.86
1283,2021-12-02,31.84,32.49,31.53,31.59
1282,2021-12-01,31.83,32.67,31.68,31.84
1281,2021-11-30,30.95,31.65,30.73,31.61
1280,2021-11-29,30.81,31.06,30.5,30.98
1279,2021-11-26,31.15,31.39,30.7,30.85
1278,2021-11-24,31.005,31.555,30.66,31.44
1277,2021-11-23,31.69,32.0,30.75,31.12
1276,2021-11-22,32.4,32.87,31.93,32.5
1275,2021-11-19,31.94,33.01,31.77,32.61
1274,2021-11-18,33.25,34.82,31.0,31.58
1273,2021-11-17,29.0,29.14,28.57,28.82
1272,2021-11-16,29.0,29.64,28.6801,29.0
1271,2021-11-15,28.95,29.0,28.39,28.78
1270,2021-11-12,29.0,29.24,28.71,29.0
1269,2021-11-11,28.34,29.42,28.22,29.06
1268,2021-11-10,28.0,28.605,27.91,27.92
1267,2021-11-09,27.88,27.99,27.62,27.83
1266,2021-11-08,27.91,28.23,27.77,27.79
1265,2021-11-05,28.26,28.62,27.68,27.84
1264,2021-11-04,28.94,29.14,27.87,27.88
1263,2021-11-03,28.47,29.14,28.3,29.01
1262,2021-11-02,29.36,29.42,27.92,28.3
1261,2021-11-01,29.45,30.015,29.31,29.7
1260,2021-10-29,29.8,30.0,29.31,29.33
1259,2021-10-28,30.21,30.3,29.7,30.18
1258,2021-10-27,30.28,30.6,29.69,30.1
1257,2021-10-26,31.04,31.13,30.14,30.44
1256,2021-10-25,30.92,31.3,30.81,31.08
1255,2021-10-22,32.0,32.08,30.675,30.92
1254,2021-10-21,31.5,32.015,31.4,31.86
1253,2021-10-20,31.57,31.95,31.24,31.55
1252,2021-10-19,31.16,31.79,30.88,31.71
1251,2021-10-18,31.08,31.28,30.86,31.05
1250,2021-10-15,31.49,31.51,31.13,31.25
1249,2021-10-14,31.37,31.465,30.96,31.3
1248,2021-10-13,31.45,31.77,31.29,31.49
1247,2021-10-12,31.5,32.08,31.29,31.3
1246,2021-10-11,31.93,32.2,31.33,31.33
1245,2021-10-08,31.3,31.97,31.21,31.71
1244,2021-10-07,31.49,31.65,31.18,31.37
1243,2021-10-06,29.92,30.96,29.92,30.86
1242,2021-10-05,29.58,30.54,29.58,30.47
1241,2021-10-04,29.69,29.98,29.2,29.47
1240,2021-10-01,30.51,30.74,29.925,30.1
1239,2021-09-30,31.01,31.52,30.59,30.66
1238,2021-09-29,30.52,31.23,30.36,30.67
1237,2021-09-28,31.37,31.41,29.985,30.26
1236,2021-09-27,31.59,31.92,31.35,31.67
1235,2021-09-24,31.22,31.9,31.08,31.66
1234,2021-09-23,31.15,31.75,31.08,31.44
1233,2021-09-22,32.24,32.24,30.75,31.17
1232,2021-09-21,30.62,30.745,30.36,30.65
