,Date,Open,High,Low,Close
580,2021-12-31,133.27,134.875,130.5758,131.5
579,2021-12-30,132.01,136.69,132.01,133.2
578,2021-12-29,132.43,134.14,129.07,133.3
577,2021-12-28,140.81,140.81,132.43,132.93
576,2021-12-27,138.08,141.34,137.1,138.94
575,2021-12-23,137.13,138.0,133.27,137.27
574,2021-12-22,143.41,145.26,135.83,136.81
573,2021-12-21,134.54,144.67,131.89,144.34
572,2021-12-20,128.48,134.7669,123.9,131.89
571,2021-12-17,129.79,137.81,127.27,134.59
570,2021-12-16,142.99,143.49,128.65,131.87
569,2021-12-15,132.0,141.76,129.5001,139.05
568,2021-12-14,134.04,138.75,127.27,132.0
567,2021-12-13,140.46,147.74,140.0801,145.03
566,2021-12-10,151.51,155.6599,139.69,140.48
565,2021-12-09,165.66,170.4,148.7574,150.2
564,2021-12-08,156.84,162.33,150.03,160.44
563,2021-12-07,155.65,160.69,155.27,156.25
562,2021-12-06,153.47,155.6,144.52,147.69
561,2021-12-03,166.97,167.7,150.2,159.69
560,2021-12-02,163.82,174.4799,162.52,166.37
559,2021-12-01,190.12,190.525,163.86,164.21
558,2021-11-30,192.56,196.98,182.59,188.24
557,2021-11-29,197.5,199.21,185.71,191.09
556,2021-11-26,198.64,205.79,196.73,200.12
555,2021-11-24,182.0,198.28,180.0,197.39
554,2021-11-23,183.89,191.41,178.42,184.65
553,2021-11-22,209.73,212.5,185.68,186.45
552,2021-11-19,216.8,220.79,210.94,211.04
551,2021-11-18,211.09,221.64,208.5001,217.25
550,2021-11-17,211.98,216.0,208.04,211.8
549,2021-11-16,205.0,214.9425,204.64,212.17
548,2021-11-15,205.64,209.0,204.76,206.6
547,2021-11-12,199.38,207.4599,197.431,204.76
546,2021-11-11,200.57,202.99,195.8,196.26
545,2021-11-10,202.99,204.9499,192.85,195.36
544,2021-11-09,207.0,209.9,200.3,204.6
543,2021-11-08,194.5,211.26,192.56,210.0
542,2021-11-05,216.08,218.0,192.49,197.26
541,2021-11-04,195.0,202.28,193.5,201.09
540,2021-11-03,193.52,196.0,189.46,194.85
539,2021-11-02,194.99,196.35,189.2,192.37
538,2021-11-01,194.75,194.774,188.63,194.26
537,2021-10-29,183.36,196.8,182.78,194.72
536,2021-10-28,177.49,186.47,174.74,184.05
535,2021-10-27,180.5,187.51,178.11,178.65
534,2021-10-26,190.81,191.1799,181.6133,185.36
533,2021-10-25,182.0,192.08,179.73,189.41
532,2021-10-22,182.61,184.4668,177.22,181.35
531,2021-10-21,176.88,183.8,176.01,182.0
530,2021-10-20,175.8,176.8,168.29,175.45
529,2021-10-19,179.5,180.0,171.32,172.89
528,2021-10-18,167.6,182.9,167.0,180.77
527,2021-10-15,162.43,168.95,162.2671,167.69
526,2021-10-14,161.86,166.14,159.55,165.28
525,2021-10-13,151.8,159.47,151.19,159.43
524,2021-10-12,145.99,151.4692,144.8,150.94
523,2021-10-11,135.325,145.7,134.93,144.27
522,2021-10-08,137.15,139.9,134.74,139.66
521,2021-10-07,134.04,137.03,132.54,136.92
520,2021-10-06,123.98,135.105,123.98,133.44
519,2021-10-05,116.74,125.62,116.74,125.59
518,2021-10-04,114.0,115.82,111.57,115.73
517,2021-10-01,113.01,115.02,108.93,114.98
516,2021-09-30,113.14,115.32,110.78,112.65
515,2021-09-29,115.29,115.84,110.68,112.34
514,2021-09-28,119.33,119.33,112.8,113.08
513,2021-09-27,127.99,128.6,121.73,122.81
512,2021-09-24,130.77,132.99,127.81,130.36
511,2021-09-23,136.97,137.0,130.82,135.67
510,2021-09-22,130.6,137.07,130.4,136.97
509,2021-09-21,128.99,131.4001,127.76,130.4
508,2021-09-20,125.28,129.42,124.84,127.19
