,Date,Open,High,Low,Close
5578,2021-12-31,167.56,167.72,166.21,166.67
5577,2021-12-30,168.31,170.12,167.2,167.49
5576,2021-12-29,167.07,169.8,166.6,168.78
5575,2021-12-28,167.8,168.25,166.3,166.42
5574,2021-12-27,166.52,167.69,165.48,167.58
5573,2021-12-23,166.25,167.16,165.44,165.67
5572,2021-12-22,167.24,169.0,164.09,165.44
5571,2021-12-21,166.69,171.19,164.71,166.63
5570,2021-12-20,159.34,159.6,155.47,156.98
5569,2021-12-17,161.63,162.86,160.55,161.36
5568,2021-12-16,162.7,165.94,162.53,162.72
5567,2021-12-15,165.0,165.67,161.82,163.9
5566,2021-12-14,166.29,167.08,164.21,165.4
5565,2021-12-13,168.81,169.39,165.26,166.84
5564,2021-12-10,168.5,170.24,167.33,169.06
5563,2021-12-09,169.29,171.165,167.99,168.1
5562,2021-12-08,171.22,171.7899,169.84,170.25
5561,2021-12-07,171.11,173.345,170.4,171.29
5560,2021-12-06,170.83,171.2128,168.06,168.91
5559,2021-12-03,170.62,172.07,166.76,170.24
5558,2021-12-02,167.28,170.545,167.0,170.0
5557,2021-12-01,170.89,173.37,166.68,166.7
5556,2021-11-30,168.79,171.55,167.53,169.24
5555,2021-11-29,169.83,171.148,169.23,169.87
5554,2021-11-26,168.06,169.68,167.54,168.02
5553,2021-11-24,168.49,172.43,167.6714,172.03
5552,2021-11-23,173.05,173.43,170.41,172.15
5551,2021-11-22,174.98,177.75,174.23,174.24
5550,2021-11-19,172.15,177.2,170.53,174.88
5549,2021-11-18,172.33,173.4628,170.36,171.35
5548,2021-11-17,171.6,172.74,170.25,171.74
5547,2021-11-16,169.25,174.0,169.25,171.83
5546,2021-11-15,169.7,170.358,168.52,168.85
5545,2021-11-12,167.5,169.675,167.4,169.09
5544,2021-11-11,169.6,169.6,166.63,166.97
5543,2021-11-10,171.23,172.17,167.55,168.26
5542,2021-11-09,171.25,173.925,170.9506,173.82
5541,2021-11-08,176.35,176.535,170.36,171.85
5540,2021-11-05,175.73,179.1,175.495,177.51
5539,2021-11-04,172.21,175.63,172.0,175.44
5538,2021-11-03,169.0,172.87,168.65,172.5
5537,2021-11-02,166.76,168.16,166.11,167.83
5536,2021-11-01,167.8,168.8,165.89,166.33
5535,2021-10-29,163.06,167.63,163.0,167.29
5534,2021-10-28,163.01,164.6,162.81,164.46
5533,2021-10-27,163.65,164.06,161.66,162.35
5532,2021-10-26,164.82,165.45,163.12,163.79
5531,2021-10-25,163.23,164.73,162.66,164.22
5530,2021-10-22,162.28,164.62,162.28,163.48
5529,2021-10-21,158.45,162.34,158.28,162.18
5528,2021-10-20,158.5,158.8,157.325,158.45
5527,2021-10-19,159.68,159.93,156.8,157.82
5526,2021-10-18,157.31,159.47,155.95,159.43
5525,2021-10-15,157.8,158.33,156.56,158.01
5524,2021-10-14,158.18,158.46,156.25,157.14
