,Date,Open,High,Low,Close
682,2021-12-31,189.2,191.6106,183.62,183.91
681,2021-12-30,182.32,192.91,180.84,190.52
680,2021-12-29,184.0,185.2144,179.785,181.81
679,2021-12-28,186.6,190.63,183.09,183.77
678,2021-12-27,189.54,190.44,185.66,187.44
677,2021-12-23,191.0,193.41,186.65,191.65
676,2021-12-22,197.05,200.25,190.42,193.13
675,2021-12-21,199.04,200.53,191.67,199.42
674,2021-12-20,205.0,205.22,197.02,197.97
673,2021-12-17,184.12,201.69,183.355,199.74
672,2021-12-16,183.79,185.72,177.0,182.4
671,2021-12-15,181.13,185.465,174.66,183.73
670,2021-12-14,180.57,183.42,178.8,181.94
669,2021-12-13,181.86,188.97,181.0,184.57
668,2021-12-10,188.27,191.36,183.91,185.25
667,2021-12-09,195.165,198.51,185.65,188.27
666,2021-12-08,188.29,195.98,184.3,194.86
665,2021-12-07,187.85,190.865,185.58,189.06
664,2021-12-06,180.635,186.13,175.27,185.84
663,2021-12-03,187.73,187.83,177.12,183.92
662,2021-12-02,195.44,198.49,188.37,191.75
661,2021-12-01,211.42,211.5,196.2664,197.71
660,2021-11-30,220.66,221.405,207.4,211.41
659,2021-11-29,216.43,219.36,208.46,218.98
658,2021-11-26,235.7,235.97,219.21,220.21
657,2021-11-24,203.8967,211.5,202.0201,208.3
656,2021-11-23,218.05,218.61,195.8,206.64
655,2021-11-22,249.26,251.7,238.2,242.28
654,2021-11-19,262.24,265.23,249.33,251.3
653,2021-11-18,260.88,263.5,254.58,255.75
652,2021-11-17,264.0,266.19,261.52,263.71
651,2021-11-16,263.0,268.88,261.21,264.49
650,2021-11-15,255.0,265.33,255.0,263.71
649,2021-11-12,248.38,255.14,245.53,254.97
648,2021-11-11,251.27,253.19,245.16,247.6
647,2021-11-10,257.01,259.47,249.0,251.26
646,2021-11-09,260.99,265.66,257.57,258.4
645,2021-11-08,262.65,263.18,257.94,259.9
644,2021-11-05,267.1,275.64,259.77,264.7
643,2021-11-04,286.2182,291.31,280.73,282.2
642,2021-11-03,280.22,286.05,274.025,285.66
641,2021-11-02,281.0959,286.45,276.27,280.29
640,2021-11-01,273.2,279.47,271.3444,278.94
639,2021-10-29,272.02,276.614,271.5975,274.65
638,2021-10-28,271.16,278.26,269.21,276.58
637,2021-10-27,278.94,282.48,272.25,272.81
636,2021-10-26,283.33,286.94,277.77,278.7
635,2021-10-25,276.04,282.98,275.72,279.79
634,2021-10-22,283.51,286.66,276.12,277.58
633,2021-10-21,273.64,278.14,272.6,274.78
632,2021-10-20,277.35,280.2,272.675,275.71
631,2021-10-19,274.53,279.81,273.83,276.4
630,2021-10-18,265.67,274.83,265.5,274.23
629,2021-10-15,267.0,267.98,264.2526,266.32
628,2021-10-14,270.5,274.0,266.84,267.01
627,2021-10-13,257.74,268.28,257.3038,266.24
626,2021-10-12,255.27,257.34,253.1,255.49
625,2021-10-11,252.18,258.41,252.0,253.97
624,2021-10-08,257.23,260.54,253.633,255.05
623,2021-10-07,254.43,258.48,253.81,256.27
622,2021-10-06,251.3,257.88,250.11,253.65
621,2021-10-05,259.84,262.74,256.85,257.12
620,2021-10-04,264.24,264.5734,253.41,259.58
619,2021-10-01,268.7714,274.57,262.7,267.51
618,2021-09-30,257.3873,264.879,255.25,261.5
617,2021-09-29,262.32,266.86,256.88,257.41
616,2021-09-28,269.49,270.615,259.8,261.89
615,2021-09-27,269.49,275.24,266.11,272.88
614,2021-09-24,274.64,275.9,267.1906,272.36
613,2021-09-23,279.91,280.3592,275.45,276.19
612,2021-09-22,276.2,279.39,275.25,277.95
611,2021-09-21,281.0271,281.17,275.065,278.24
610,2021-09-20,278.65,285.0,276.91,280.67
609,2021-09-17,279.79,287.78,278.37,287.68
608,2021-09-16,277.68,279.2899,273.5,278.22
607,2021-09-15,282.33,283.07,277.02,279.12
606,2021-09-14,290.3375,291.88,280.92,281.44
605,2021-09-13,300.16,300.275,289.82,290.24
604,2021-09-10,296.91,306.2634,296.81,301.5
603,2021-09-09,292.16,297.57,291.13,295.86
602,2021-09-08,299.55,299.96,290.53,293.6
601,2021-09-07,298.295,300.98,294.8,299.96
600,2021-09-03,295.325,301.805,292.03,298.29
599,2021-09-02,292.8,296.6899,290.41,295.09
598,2021-09-01,292.85,299.4,290.05,290.86
597,2021-08-31,294.0,295.8699,288.3,289.5
596,2021-08-30,341.7,348.3,339.65,347.5
595,2021-08-27,343.88,344.7797,337.65,340.81
594,2021-08-26,350.75,357.93,340.25,340.63
593,2021-08-25,341.64,344.0499,336.791,337.74
592,2021-08-24,344.4158,346.33,337.76,340.25
591,2021-08-23,338.225,342.4899,336.79,341.3
590,2021-08-20,333.45,344.36,333.45,336.86
589,2021-08-19,336.24,337.99,331.45,332.38
