Unnamed: 0,Date,Open,High,Low,Close,Mean
5578,2021-12-31,7.2,7.225,7.155,7.19,7.1899999999999995
5577,2021-12-30,7.2,7.27,7.18,7.18,7.225
5576,2021-12-29,7.25,7.27,7.22,7.22,7.244999999999999
5575,2021-12-28,7.23,7.29,7.2269,7.25,7.25845
5574,2021-12-27,7.25,7.27,7.21,7.23,7.24
5573,2021-12-23,7.2,7.25,7.1964,7.23,7.2232
5572,2021-12-22,7.12,7.2,7.09,7.18,7.145
5571,2021-12-21,7.04,7.1185,7.0201,7.08,7.0693
5570,2021-12-20,6.91,7.135,6.87,6.98,7.0024999999999995
5569,2021-12-17,7.14,7.18,7.08,7.13,7.13
5568,2021-12-16,7.13,7.16,7.08,7.14,7.12
5567,2021-12-15,6.97,7.13,6.9305,7.12,7.0302500000000006
5566,2021-12-14,6.94,6.98,6.86,6.96,6.92
5565,2021-12-13,7.02,7.05,6.96,6.98,7.005
5564,2021-12-10,7.05,7.08,6.98,7.02,7.03
5563,2021-12-09,7.1,7.12,7.03,7.03,7.075
5562,2021-12-08,7.39,7.41,7.31,7.32,7.359999999999999
5561,2021-12-07,7.32,7.39,7.3101,7.37,7.3500499999999995
5560,2021-12-06,7.14,7.25,7.12,7.25,7.1850000000000005
5559,2021-12-03,7.16,7.19,7.0323,7.09,7.11115
5558,2021-12-02,7.02,7.15,7.0,7.15,7.075
5557,2021-12-01,7.16,7.2,7.0,7.02,7.1
5556,2021-11-30,7.15,7.15,7.07,7.07,7.11
5555,2021-11-29,7.19,7.19,7.13,7.18,7.16
5554,2021-11-26,7.13,7.145,7.03,7.13,7.0875
5553,2021-11-24,7.14,7.2,7.11,7.19,7.155
5552,2021-11-23,7.15,7.17,7.09,7.17,7.13
5551,2021-11-22,7.15,7.165,7.1,7.12,7.1325
5550,2021-11-19,7.19,7.2,7.13,7.13,7.165
5549,2021-11-18,7.15,7.21,7.09,7.2,7.15
5548,2021-11-17,7.125,7.15,7.09,7.13,7.12
5547,2021-11-16,7.12,7.15,7.1,7.1,7.125
5546,2021-11-15,7.1,7.13,7.08,7.09,7.105
5545,2021-11-12,7.04,7.08,7.0302,7.07,7.0550999999999995
5544,2021-11-11,7.05,7.05,7.01,7.04,7.029999999999999
5543,2021-11-10,7.04,7.065,7.0,7.01,7.032500000000001
5542,2021-11-09,7.08,7.08,7.02,7.06,7.05
5541,2021-11-08,7.07,7.1,7.0531,7.07,7.076549999999999
5540,2021-11-05,7.03,7.09,7.03,7.06,7.0600000000000005
5539,2021-11-04,7.01,7.03,7.0,7.01,7.015000000000001
5538,2021-11-03,7.01,7.03,6.99,7.01,7.01
5537,2021-11-02,6.96,7.03,6.95,7.01,6.99
5536,2021-11-01,6.94,6.97,6.93,6.96,6.949999999999999
5535,2021-10-29,6.93,6.9499,6.91,6.91,6.92995
5534,2021-10-28,6.96,6.96,6.91,6.96,6.9350000000000005
5533,2021-10-27,6.98,7.0,6.9,6.9,6.95
5532,2021-10-26,7.0,7.01,6.95,7.0,6.98
5531,2021-10-25,6.99,6.99,6.93,6.98,6.96
5530,2021-10-22,6.95,6.99,6.935,6.97,6.9625
5529,2021-10-21,6.94,6.95,6.89,6.95,6.92
5528,2021-10-20,6.89,6.94,6.86,6.93,6.9
5527,2021-10-19,6.88,6.89,6.84,6.87,6.865
5526,2021-10-18,6.83,6.87,6.8046,6.87,6.8373
5525,2021-10-15,6.84,6.86,6.82,6.83,6.84
5524,2021-10-14,6.75,6.81,6.735,6.81,6.7725
5523,2021-10-13,6.67,6.7,6.64,6.69,6.67
5522,2021-10-12,6.72,6.72,6.635,6.66,6.6775
5521,2021-10-11,6.74,6.77,6.69,6.7,6.73
5520,2021-10-08,6.74,6.77,6.72,6.72,6.744999999999999
5519,2021-10-07,6.76,6.79,6.7,6.72,6.745
5518,2021-10-06,6.66,6.68,6.61,6.68,6.645
5517,2021-10-05,6.64,6.72,6.62,6.68,6.67
5516,2021-10-04,6.73,6.73,6.63,6.64,6.68
5515,2021-10-01,6.67,6.725,6.62,6.72,6.672499999999999
5514,2021-09-30,6.74,6.75,6.62,6.65,6.6850000000000005
